split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,7552,859,0.2271402043374759,0.26424536733820436,0.9,0.72,0.6
temporal,xgboost,7552,859,0.3318662265594967,0.2725324162804843,0.8,0.8,0.7
spatial,historical_rate,4530,591,0.21228288077757831,0.23252205149717856,0.9,0.68,0.52
spatial,xgboost,4530,591,0.3282667140936071,0.2717578714112596,0.8,0.64,0.64
spatiotemporal,historical_rate,1510,192,0.257694885804136,0.2902798974381563,0.7,0.56,0.62
spatiotemporal,xgboost,1510,192,0.3465863054737918,0.27498968245706285,0.6,0.64,0.6
temporal,gat_temporal,7552,859,0.26097865854651797,0.2726409346829525,0.4,0.44,0.4
spatiotemporal,gat_temporal,1510,192,0.2500669079529137,0.2584369806086165,0.3,0.32,0.3
temporal,gat_no_graph,7552,859,0.35973135308149995,0.2922097195293656,0.8,0.84,0.72
temporal,gat_no_temporal,7552,859,0.22671155677183016,0.1192667406376113,0.6,0.44,0.4
