split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,9007,634,0.16649136442235427,0.24152926031282076,0.9,0.72,0.64
temporal,xgboost,9007,634,0.27479338672161346,0.21626657311277545,1.0,0.88,0.76
spatial,historical_rate,5403,385,0.16557094756266783,0.19875612172777357,0.9,0.88,0.66
spatial,xgboost,5403,385,0.27360941460385296,0.19998627171595668,1.0,0.96,0.78
spatiotemporal,historical_rate,1801,124,0.128560436067654,0.19095976060440645,0.4,0.36,0.22
spatiotemporal,xgboost,1801,124,0.2699735620694832,0.22578677756568952,0.7,0.48,0.42
temporal,gat_temporal,9007,634,0.26096890927939104,0.25024256350851637,1.0,0.76,0.56
spatiotemporal,gat_temporal,1801,124,0.30698383514577793,0.2635907109653035,0.6,0.6,0.48
temporal,gat_no_graph,9007,634,0.23593576326418883,0.19821621338301096,0.8,0.64,0.52
temporal,gat_no_temporal,9007,634,0.18066806683928893,0.10332771997918003,1.0,0.72,0.52
