split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,5486,528,0.17850726673865572,0.21793462232844707,0.9,0.72,0.46
temporal,xgboost,5486,528,0.2929973241365637,0.2523463189237657,0.8,0.76,0.54
spatial,historical_rate,3291,335,0.20194287860655516,0.2516845293271716,0.8,0.72,0.58
spatial,xgboost,3291,335,0.2695140734230792,0.22757083297640085,0.9,0.48,0.42
spatiotemporal,historical_rate,1097,110,0.19699499275596316,0.20030022048957735,0.7,0.36,0.3
spatiotemporal,xgboost,1097,110,0.2565716379417144,0.20027655711308268,0.4,0.52,0.38
temporal,gat_temporal,5486,528,0.2913472711843333,0.2519395100860234,0.9,0.76,0.64
spatiotemporal,gat_temporal,1097,110,0.318692719253689,0.26019993693019616,0.7,0.52,0.42
temporal,gat_no_graph,5486,528,0.2692108096449978,0.237798755679221,0.7,0.48,0.58
temporal,gat_no_temporal,5486,528,0.25961355987099083,0.1990227823959785,0.8,0.64,0.56
