split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,1387,115,0.22292206403265985,0.3335057605333491,0.5,0.52,0.4
temporal,xgboost,1387,115,0.40032881135815546,0.30851204323454,0.8,0.68,0.54
spatial,historical_rate,831,68,0.1467175317780542,0.1995008785294281,0.5,0.28,0.28
spatial,xgboost,831,68,0.18873446462342044,0.1912234366151686,0.4,0.28,0.26
spatiotemporal,historical_rate,277,22,0.22128449168160358,0.23552540725232893,0.4,0.28,0.16
spatiotemporal,xgboost,277,22,0.21791872376239535,0.2014907281848178,0.2,0.24,0.18
temporal,gat_temporal,1387,115,0.18223544635062291,0.21303143886806372,0.2,0.28,0.26
spatiotemporal,gat_temporal,277,22,0.25695828778792634,0.24285303086260004,0.3,0.24,0.2
temporal,gat_no_graph,1387,115,0.3205798322635808,0.27548337052862576,0.7,0.52,0.44
temporal,gat_no_temporal,1387,115,0.24247573467113676,0.16772694517649536,0.5,0.56,0.4
