split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,4581,453,0.18289967395115583,0.2095424674494244,0.7,0.68,0.56
temporal,xgboost,4581,453,0.283011294577874,0.25023429703863753,0.7,0.76,0.6
spatial,historical_rate,2748,287,0.16660710196906378,0.1933559213823577,0.6,0.52,0.46
spatial,xgboost,2748,287,0.2477719732486773,0.2154026304550942,0.3,0.52,0.46
spatiotemporal,historical_rate,916,89,0.1893696767562816,0.22456897306029183,0.6,0.32,0.36
spatiotemporal,xgboost,916,89,0.2506904581758766,0.22464214633885443,0.4,0.44,0.38
temporal,gat_temporal,4581,453,0.2591469005573357,0.24712417861736843,0.6,0.48,0.44
spatiotemporal,gat_temporal,916,89,0.30179124815901637,0.25525902534739947,0.8,0.52,0.38
temporal,gat_no_graph,4581,453,0.24896935429457007,0.25285441856829227,0.5,0.4,0.3
temporal,gat_no_temporal,4581,453,0.22121487715650612,0.1802262192466743,0.4,0.48,0.44
