candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
BASELINE (this project's architecture),0.0004860092594753951,0.016076525673270226,0.9997412901000345,0.7878787878787878,0.9989922642707825,0.9997412901000345,0.000795604893937707,0.9098334401024984,2023-07-15,6
BASELINE (this project's architecture),0.000441989948740229,0.012897821143269539,0.9998336864928793,0.7564102564102563,0.9988545179367065,0.9998336864928793,0.0008176159462891519,0.900612280096585,2023-10-13,7
BASELINE (this project's architecture),0.000407668761909008,0.012891720980405807,0.9998336864928793,0.7138888888888889,0.9988495111465454,0.9998336864928793,0.0007457632455043495,0.8962265313162174,2024-01-11,8
BASELINE (this project's architecture),0.0004626883892342448,0.014879549853503704,0.9997782486571725,0.8269230769230769,0.9984711408615112,0.9997782486571725,0.000698074814863503,0.8984194057064012,2024-04-10,9
BASELINE (this project's architecture),0.00044427724787965417,0.014246417209506035,0.9997967279357414,0.8928571428571429,0.9985203742980957,0.9997967279357414,0.0007534316973760724,0.9019797467106884,2024-07-09,10
BASELINE (this project's architecture),0.0004845500225201249,0.015879185870289803,0.9997474498595574,0.7884615384615384,0.9987500905990601,0.9997474498595574,0.0008332751458510756,0.900630759375154,2024-10-07,11
"change ONLY encoder order -> temporal_first (their order), lr=0.01",,,0.0,0.21060606060606063,,0.9997412901000345,,0.0,2023-07-15,6
"change ONLY encoder order -> temporal_first (their order), lr=0.01",,,0.0,0.10256410256410256,,0.9998336864928793,,0.0,2023-10-13,7
"change ONLY encoder order -> temporal_first (their order), lr=0.01",,,0.0,0.1486111111111111,,0.9998336864928793,,0.0,2024-01-11,8
"change ONLY encoder order -> temporal_first (their order), lr=0.01",,,0.0,0.08333333333333333,,0.9997782486571725,,0.0,2024-04-10,9
"change ONLY encoder order -> temporal_first (their order), lr=0.01",,,0.0,0.09523809523809523,,0.9997967279357414,,0.0,2024-07-09,10
"change ONLY encoder order -> temporal_first (their order), lr=0.01",,,0.0,0.21794871794871792,,0.9997474498595574,,0.0,2024-10-07,11
"change ONLY encoder order -> temporal_first, at its own lr=5e-4",0.0006717206561006606,0.016123682260513306,0.9997412901000345,0.7272727272727273,0.9986839294433594,0.9997412901000345,0.001142869470641017,0.9014684866702803,2023-07-15,6
"change ONLY encoder order -> temporal_first, at its own lr=5e-4",0.0005522258579730988,0.012934514321386814,0.9998336864928793,0.5833333333333333,0.9979619383811951,0.9998336864928793,0.0010986065026372671,0.9043697334056079,2023-10-13,7
"change ONLY encoder order -> temporal_first, at its own lr=5e-4",0.0005280140321701765,0.01293865218758583,0.9998336864928793,0.6583333333333333,0.9989784359931946,0.9998336864928793,0.0009901098674163222,0.9010065047060563,2024-01-11,8
"change ONLY encoder order -> temporal_first, at its own lr=5e-4",0.0005609122454188764,0.014917326159775257,0.9997782486571725,0.6923076923076922,0.9988290071487427,0.9997782486571725,0.0009125142241828144,0.900630759375154,2024-04-10,9
"change ONLY encoder order -> temporal_first, at its own lr=5e-4",0.0005743475048802793,0.014284566976130009,0.9997967279357414,0.5988095238095238,0.9980149865150452,0.9997967279357414,0.0008923960267566144,0.8908737002907406,2024-07-09,10
"change ONLY encoder order -> temporal_first, at its own lr=5e-4",0.0007616559159941971,0.01594631001353264,0.9997474498595574,0.6897435897435896,0.9979994297027588,0.9997474498595574,0.0009999509202316403,0.8688279209579658,2024-10-07,11
change ONLY layers 1 -> 2 (their depth),0.0005002214456908405,0.01608152501285076,0.9997412901000345,0.5,0.9996920228004456,0.9997412901000345,0.0005976718966849148,0.9032917754890849,2023-07-15,6
change ONLY layers 1 -> 2 (their depth),0.000406286446377635,0.012895631603896618,0.9998336864928793,0.3974358974358974,0.9997569918632507,0.9998336864928793,0.0005867368308827281,0.9023986103582516,2023-10-13,7
change ONLY layers 1 -> 2 (their depth),0.0003980878973379731,0.012895212508738041,0.9998336864928793,0.4166666666666667,0.9997425675392151,0.9998336864928793,0.0005530043272301555,0.9025156457891884,2024-01-11,8
