split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,8238,667,0.1884993786887373,0.25073223576261855,0.8,0.72,0.66
temporal,xgboost,8238,667,0.31107200399146095,0.24004994599259796,1.0,0.88,0.72
spatial,historical_rate,4941,476,0.1533028967506857,0.18317089383613747,0.6,0.56,0.48
spatial,xgboost,4941,476,0.24042232828600263,0.22051919381412505,0.5,0.56,0.5
spatiotemporal,historical_rate,1647,137,0.1562712373051011,0.20668098942528812,0.4,0.48,0.32
spatiotemporal,xgboost,1647,137,0.28443475478223657,0.22742149895139052,0.7,0.52,0.48
temporal,gat_temporal,8238,667,0.28664124614390485,0.2787984115821451,0.4,0.56,0.5
spatiotemporal,gat_temporal,1647,137,0.24787792840917372,0.2362418440981657,0.6,0.48,0.36
temporal,gat_no_graph,8238,667,0.29086815613093714,0.24093789141581778,0.8,0.76,0.58
temporal,gat_no_temporal,8238,667,0.264500947163777,0.19798339927471648,0.8,0.72,0.64
