candidate,seed,borough,held_out_start,AccHR,n_train_instances,run_fingerprint
42,42,Lambeth,2023-07-15,0.7272727272727273,6,1f12358c7c4ae4e3
42,42,Lambeth,2023-10-13,0.5833333333333333,7,1f12358c7c4ae4e3
42,42,Lambeth,2024-01-11,0.6583333333333333,8,1f12358c7c4ae4e3
42,42,Lambeth,2024-04-10,0.6923076923076922,9,1f12358c7c4ae4e3
42,42,Lambeth,2024-07-09,0.5988095238095238,10,1f12358c7c4ae4e3
42,42,Lambeth,2024-10-07,0.6897435897435896,11,1f12358c7c4ae4e3
1,1,Lambeth,2023-07-15,0.7803030303030302,6,7df01da5c1040061
1,1,Lambeth,2023-10-13,0.6602564102564104,7,7df01da5c1040061
1,1,Lambeth,2024-01-11,0.6166666666666667,8,7df01da5c1040061
1,1,Lambeth,2024-04-10,0.782051282051282,9,7df01da5c1040061
1,1,Lambeth,2024-07-09,0.8428571428571429,10,7df01da5c1040061
1,1,Lambeth,2024-10-07,0.7282051282051281,11,7df01da5c1040061
7,7,Lambeth,2023-07-15,0.7727272727272727,6,3863886945ae5b2b
7,7,Lambeth,2023-10-13,0.6602564102564104,7,3863886945ae5b2b
7,7,Lambeth,2024-01-11,0.6583333333333333,8,3863886945ae5b2b
7,7,Lambeth,2024-04-10,0.7628205128205128,9,3863886945ae5b2b
7,7,Lambeth,2024-07-09,0.8428571428571429,10,3863886945ae5b2b
7,7,Lambeth,2024-10-07,0.7282051282051281,11,3863886945ae5b2b
123,123,Lambeth,2023-07-15,0.6893939393939393,6,bacd6e63ed2e85c7
123,123,Lambeth,2023-10-13,0.6346153846153846,7,bacd6e63ed2e85c7
123,123,Lambeth,2024-01-11,0.5819444444444445,8,bacd6e63ed2e85c7
123,123,Lambeth,2024-04-10,0.7371794871794871,9,bacd6e63ed2e85c7
123,123,Lambeth,2024-07-09,0.8273809523809523,10,bacd6e63ed2e85c7
123,123,Lambeth,2024-10-07,0.7666666666666665,11,bacd6e63ed2e85c7
2024,2024,Lambeth,2023-07-15,0.3378787878787879,6,ee32d765c01b9e0f
2024,2024,Lambeth,2023-10-13,0.1346153846153846,7,ee32d765c01b9e0f
2024,2024,Lambeth,2024-01-11,0.1875,8,ee32d765c01b9e0f
2024,2024,Lambeth,2024-04-10,0.3846153846153847,9,ee32d765c01b9e0f
2024,2024,Lambeth,2024-07-09,0.3297619047619048,10,ee32d765c01b9e0f
2024,2024,Lambeth,2024-10-07,0.2756410256410256,11,ee32d765c01b9e0f
