candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
12 features (geometry + crash history only),0.00047955315676517785,0.016075002029538155,0.9997412901000345,0.8030303030303031,0.9989065527915955,0.9997412901000345,0.0006588884862139821,0.9097964815453604,2023-07-15,6
12 features (geometry + crash history only),0.00043089198879897594,0.012898722663521767,0.9998336864928793,0.7564102564102563,0.9989271759986877,0.9998336864928793,0.0007506452966481447,0.9006615581727689,2023-10-13,7
12 features (geometry + crash history only),0.0004144044651184231,0.01289396919310093,0.9998336864928793,0.6888888888888888,0.9987536668777466,0.9998336864928793,0.0007463213987648487,0.8993556891538954,2024-01-11,8
12 features (geometry + crash history only),0.00044923549285158515,0.014881090261042118,0.9997782486571725,0.7884615384615384,0.9986560344696045,0.9997782486571725,0.0006745783030055463,0.9007477948060908,2024-04-10,9
12 features (geometry + crash history only),0.00043312556226737797,0.014246578328311443,0.9997967279357414,0.869047619047619,0.9986165165901184,0.9997967279357414,0.000773933541495353,0.9018565515202287,2024-07-09,10
12 features (geometry + crash history only),0.00045253572170622647,0.01588374562561512,0.9997474498595574,0.8205128205128205,0.9991533160209656,0.9997474498595574,0.0007419526227749884,0.90326097669147,2024-10-07,11
17 features (+ casualty breakdown),0.0005100754788145423,0.01607142761349678,0.9997412901000345,0.7727272727272727,0.9985211491584778,0.9997412901000345,0.0006241302471607924,0.8999347065490563,2023-07-15,6
17 features (+ casualty breakdown),0.00040316692320629954,0.012894692830741405,0.9998336864928793,0.7371794871794871,0.9991185665130615,0.9998336864928793,0.0007217702805064619,0.8992016951658207,2023-10-13,7
17 features (+ casualty breakdown),0.0004138325166422874,0.012894214130938053,0.9998336864928793,0.7166666666666667,0.9989407062530518,0.9998336864928793,0.0008001262322068214,0.9007477948060908,2024-01-11,8
17 features (+ casualty breakdown),0.0004467224352993071,0.014884964562952518,0.9997782486571725,0.7628205128205128,0.9989228844642639,0.9997782486571725,0.0006990969413891435,0.9043081358103779,2024-04-10,9
17 features (+ casualty breakdown),0.0004223016439937055,0.014243935234844685,0.9997967279357414,0.869047619047619,0.9983055591583252,0.9997967279357414,0.0006318162777461112,0.9056694426649584,2024-07-09,10
17 features (+ casualty breakdown),0.00047201215056702495,0.01588096283376217,0.9997474498595574,0.8076923076923077,0.9988247752189636,0.9997474498595574,0.0005932004423812032,0.9016040013797861,2024-10-07,11
20 features (+ traffic exposure),0.0005029257736168802,0.0160738043487072,0.9997412901000345,0.7242424242424241,0.9985769987106323,0.9997412901000345,0.0005954466760158539,0.9106773271571478,2023-07-15,6
20 features (+ traffic exposure),0.0004190844192635268,0.012897982262074947,0.9998336864928793,0.7884615384615384,0.9990282654762268,0.9998336864928793,0.00065656250808388,0.8983023702754644,2023-10-13,7
20 features (+ traffic exposure),0.0004170367610640824,0.012894167564809322,0.9998336864928793,0.6680555555555555,0.9985538125038147,0.9998336864928793,0.0006371369818225503,0.8982777312373725,2024-01-11,8
20 features (+ traffic exposure),0.000440643954789266,0.01488419994711876,0.9997782486571725,0.7435897435897435,0.9989467263221741,0.9997782486571725,0.0006075564888305962,0.8999039077514414,2024-04-10,9
20 features (+ traffic exposure),0.00040201726369559765,0.014249483123421669,0.9997967279357414,0.8333333333333333,0.9990494251251221,0.9997967279357414,0.0006392790237441659,0.9024786872320505,2024-07-09,10
20 features (+ traffic exposure),0.0004487770493142307,0.01588379219174385,0.9997474498595574,0.8115384615384615,0.9992266297340393,0.9997474498595574,0.0006582554779015481,0.9018627112797516,2024-10-07,11
25 features (+ POI),0.0004952549934387207,0.016075540333986282,0.9997412901000345,0.7878787878787878,0.9991157054901123,0.9997412901000345,0.000775297055952251,0.8856687034938157,2023-07-15,6
25 features (+ POI),0.00042071487405337393,0.012892902828752995,0.9998336864928793,0.8076923076923077,0.9990987181663513,0.9998336864928793,0.000991406268440187,0.9023924505987286,2023-10-13,7
25 features (+ POI),0.0003845281316898763,0.012892207130789757,0.9998336864928793,0.7138888888888889,0.9993064999580383,0.9998336864928793,0.000860795087646693,0.9009017887941655,2024-01-11,8
25 features (+ POI),0.00043469108641147614,0.014885368756949902,0.9997782486571725,0.8269230769230769,0.9992315769195557,0.9997782486571725,0.0008018551743589342,0.9013144926822056,2024-04-10,9
25 features (+ POI),0.0004046256945002824,0.014248485676944256,0.9997967279357414,0.880952380952381,0.9989959001541138,0.9997967279357414,0.0007765529444441199,0.9056201645887745,2024-07-09,10
25 features (+ POI),0.0004475621390156448,0.01588364690542221,0.9997474498595574,0.782051282051282,0.9992220997810364,0.9997474498595574,0.000703139987308532,0.9059158330458779,2024-10-07,11
35 features (+ socio-demographic = FINAL),0.0004889757256023586,0.01607660949230194,0.9997412901000345,0.7878787878787878,0.9989866614341736,0.9997412901000345,0.0007868570974096656,0.9098395998620213,2023-07-15,6
35 features (+ socio-demographic = FINAL),0.00043698769877664745,0.012897809967398643,0.9998336864928793,0.7371794871794871,0.9988991022109985,0.9998336864928793,0.0008065365836955607,0.9001810969299758,2023-10-13,7
35 features (+ socio-demographic = FINAL),0.0004155297065153718,0.012892073951661587,0.9998336864928793,0.7138888888888889,0.9989094734191895,0.9998336864928793,0.0008316683815792203,0.8976001576898438,2024-01-11,8
35 features (+ socio-demographic = FINAL),0.0004622400156222284,0.014879985712468624,0.9997782486571725,0.8269230769230769,0.9984970092773438,0.9997782486571725,0.0006846452597528696,0.8985857192135219,2024-04-10,9
35 features (+ socio-demographic = FINAL),0.00044467163388617337,0.014245622791349888,0.9997967279357414,0.8928571428571429,0.9984897375106812,0.9997967279357414,0.0007813077536411583,0.9013144926822056,2024-07-09,10
35 features (+ socio-demographic = FINAL),0.0004610460891854018,0.015881070867180824,0.9997474498595574,0.8269230769230769,0.999008297920227,0.9997474498595574,0.0007687318720854819,0.900618439856108,2024-10-07,11
