candidate,seed,borough,held_out_start,AccHR,n_train_instances,run_fingerprint
42,42,Lambeth,2023-07-15,0.7878787878787878,6,fb5c587069b3efa9
42,42,Lambeth,2023-10-13,0.7564102564102563,7,fb5c587069b3efa9
42,42,Lambeth,2024-01-11,0.7138888888888889,8,fb5c587069b3efa9
42,42,Lambeth,2024-04-10,0.8269230769230769,9,fb5c587069b3efa9
42,42,Lambeth,2024-07-09,0.8928571428571429,10,fb5c587069b3efa9
42,42,Lambeth,2024-10-07,0.7884615384615384,11,fb5c587069b3efa9
1,1,Lambeth,2023-07-15,0.7954545454545454,6,d4a2843470995e9b
1,1,Lambeth,2023-10-13,0.7564102564102563,7,d4a2843470995e9b
1,1,Lambeth,2024-01-11,0.7138888888888889,8,d4a2843470995e9b
1,1,Lambeth,2024-04-10,0.7884615384615383,9,d4a2843470995e9b
1,1,Lambeth,2024-07-09,0.9047619047619048,10,d4a2843470995e9b
1,1,Lambeth,2024-10-07,0.8076923076923077,11,d4a2843470995e9b
7,7,Lambeth,2023-07-15,0.7727272727272727,6,b7a195c1b49c00e4
7,7,Lambeth,2023-10-13,0.6602564102564101,7,b7a195c1b49c00e4
7,7,Lambeth,2024-01-11,0.7277777777777779,8,b7a195c1b49c00e4
7,7,Lambeth,2024-04-10,0.8461538461538461,9,b7a195c1b49c00e4
7,7,Lambeth,2024-07-09,0.7142857142857143,10,b7a195c1b49c00e4
7,7,Lambeth,2024-10-07,0.814102564102564,11,b7a195c1b49c00e4
123,123,Lambeth,2023-07-15,0.8030303030303029,6,ed3b7ab8cc4ab52a
123,123,Lambeth,2023-10-13,0.6794871794871794,7,ed3b7ab8cc4ab52a
123,123,Lambeth,2024-01-11,0.6097222222222222,8,ed3b7ab8cc4ab52a
123,123,Lambeth,2024-04-10,0.8269230769230769,9,ed3b7ab8cc4ab52a
123,123,Lambeth,2024-07-09,0.8928571428571429,10,ed3b7ab8cc4ab52a
123,123,Lambeth,2024-10-07,0.814102564102564,11,ed3b7ab8cc4ab52a
