candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0008294724975712597,0.016096487641334534,0.9997412901000345,0.4984848484848485,0.9989166259765625,0.9997412901000345,0.0014190011424943805,0.9008278716798896,2023-07-15,6
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0007225197623483837,0.012943414971232414,0.9998336864928793,0.608974358974359,0.9985607266426086,0.9998336864928793,0.0014811907894909382,0.8983085300349875,2023-10-13,7
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0006385380984283984,0.01292362716048956,0.9998336864928793,0.5055555555555555,0.9984254240989685,0.9998336864928793,0.0012906158808618784,0.903211698615286,2024-01-11,8
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0006258614594116807,0.014893166720867157,0.9997782486571725,0.7499999999999999,0.9983707070350647,0.9997782486571725,0.0010700126877054572,0.8964975607352289,2024-04-10,9
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0006285664276219904,0.014261214062571526,0.9997967279357414,0.6583333333333333,0.9980932474136353,0.9997967279357414,0.0010195353534072638,0.8788744887399595,2024-07-09,10
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0008070346084423363,0.015909917652606964,0.9997474498595574,0.5743589743589743,0.9978649020195007,0.9997474498595574,0.001137459184974432,0.8450450894397082,2024-10-07,11
"Gao et al. architecture, LONG history (the key test)",0.0008753723814152181,0.016126342117786407,0.9997412901000345,0.5575757575757575,0.9980573058128357,0.9997412901000345,0.0015728571452200413,0.8953272064258612,2023-07-15,6
"Gao et al. architecture, LONG history (the key test)",0.0007225197623483837,0.012943414971232414,0.9998336864928793,0.608974358974359,0.9985607266426086,0.9998336864928793,0.001481192302890122,0.8983085300349875,2023-10-13,7
"Gao et al. architecture, LONG history (the key test)",0.0006385381566360593,0.01292362716048956,0.9998336864928793,0.5055555555555555,0.9984254240989685,0.9998336864928793,0.001290616113692522,0.903211698615286,2024-01-11,8
"Gao et al. architecture, LONG history (the key test)",0.0006258614594116807,0.014893166720867157,0.9997782486571725,0.7499999999999999,0.9983707070350647,0.9997782486571725,0.0010700125712901354,0.8964975607352289,2024-04-10,9
"Gao et al. architecture, LONG history (the key test)",0.0006285664276219904,0.014261214062571526,0.9997967279357414,0.6583333333333333,0.9980932474136353,0.9997967279357414,0.0010195350041612983,0.8788744887399595,2024-07-09,10
"Gao et al. architecture, LONG history (the key test)",0.0008070344920270145,0.015909917652606964,0.9997474498595574,0.5743589743589743,0.9978649020195007,0.9997474498595574,0.0011374582536518574,0.8450450894397082,2024-10-07,11
"This project's architecture, SHORT history",0.000570927222725004,0.016086477786302567,0.9997412901000345,0.7575757575757575,0.9991458058357239,0.9997412901000345,0.0007216899539344013,0.8660991474892821,2023-07-15,6
"This project's architecture, SHORT history",0.00044211960630491376,0.012897826731204987,0.9998336864928793,0.7564102564102563,0.9988539814949036,0.9998336864928793,0.000818895292468369,0.9006430788941999,2023-10-13,7
"This project's architecture, SHORT history",0.00040771986823529005,0.012891723774373531,0.9998336864928793,0.7138888888888889,0.9988491535186768,0.9998336864928793,0.0007462217472493649,0.8962942886709703,2024-01-11,8
"This project's architecture, SHORT history",0.00046263932017609477,0.014879545196890831,0.9997782486571725,0.8269230769230769,0.9984708428382874,0.9997782486571725,0.0006979958852753043,0.8984317252254472,2024-04-10,9
"This project's architecture, SHORT history",0.0004442737845238298,0.014246413484215736,0.9997967279357414,0.8928571428571429,0.9985207319259644,0.9997967279357414,0.0007537794299423695,0.9019797467106884,2024-07-09,10
"This project's architecture, SHORT history",0.0004843237402383238,0.015879157930612564,0.9997474498595574,0.7884615384615384,0.9987484216690063,0.9997474498595574,0.0008310644770972431,0.9005876410584931,2024-10-07,11
"This project's architecture, LONG history (final model)",0.0004889226984232664,0.01607660949230194,0.9997412901000345,0.7878787878787878,0.9989863038063049,0.9997412901000345,0.0007814173586666584,0.9097595229882225,2023-07-15,6
"This project's architecture, LONG history (final model)",0.00044202327262610197,0.012897822074592113,0.9998336864928793,0.7564102564102563,0.9988544583320618,0.9998336864928793,0.0008178010466508567,0.900606120337062,2023-10-13,7
"This project's architecture, LONG history (final model)",0.00040762859862297773,0.012891720980405807,0.9998336864928793,0.7138888888888889,0.9988495111465454,0.9998336864928793,0.000745394907426089,0.8962203715566944,2024-01-11,8
"This project's architecture, LONG history (final model)",0.00046201073564589024,0.01487958524376154,0.9997782486571725,0.8269230769230769,0.9984784722328186,0.9997782486571725,0.0006981072947382927,0.8985056423397231,2024-04-10,9
"This project's architecture, LONG history (final model)",0.00044431007700040936,0.014246415346860886,0.9997967279357414,0.8928571428571429,0.9985206127166748,0.9997967279357414,0.0007536184857599437,0.9020351845463953,2024-07-09,10
"This project's architecture, LONG history (final model)",0.0004843742062803358,0.015879156067967415,0.9997474498595574,0.7884615384615384,0.9987476468086243,0.9997474498595574,0.0008335001766681671,0.9007970728822747,2024-10-07,11
