candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
FINAL config (35 features),0.0004894121666438878,0.016076648607850075,0.9997412901000345,0.7878787878787878,0.9989866614341736,0.9997412901000345,0.0007838542223908007,0.9097348839501306,2023-07-15,6
FINAL config (35 features),0.0004371542891021818,0.012897858396172523,0.9998336864928793,0.7371794871794871,0.9989011287689209,0.9998336864928793,0.0008099924889393151,0.9002057359680679,2023-10-13,7
FINAL config (35 features),0.0004152553156018257,0.01289206650108099,0.9998336864928793,0.7138888888888889,0.998910665512085,0.9998336864928793,0.0008293165592476726,0.8975447198541369,2024-01-11,8
FINAL config (35 features),0.0004618797975126654,0.014879891648888588,0.9997782486571725,0.8269230769230769,0.9984939098358154,0.9997782486571725,0.0006844657473266125,0.8986534765682748,2024-04-10,9
FINAL config (35 features),0.0004447332175914198,0.014245633035898209,0.9997967279357414,0.8928571428571429,0.9984902143478394,0.9997967279357414,0.0007802509935572743,0.9012405755679298,2024-07-09,10
FINAL config (35 features),0.0004610060714185238,0.01588108390569687,0.9997474498595574,0.8269230769230769,0.9990090131759644,0.9997474498595574,0.0007677319226786494,0.9005137239442172,2024-10-07,11
"pruned (30 features, casualty breakdown dropped)",0.0005369405844248831,0.016076209023594856,0.9997412901000345,0.7348484848484848,0.999026358127594,0.9997412901000345,0.0008544846787117422,0.9019058295964125,2023-07-15,6
"pruned (30 features, casualty breakdown dropped)",0.0004005884693469852,0.012893198989331722,0.9998336864928793,0.6538461538461539,0.999380350112915,0.9998336864928793,0.000739327457267791,0.9021275809392402,2023-10-13,7
"pruned (30 features, casualty breakdown dropped)",0.00039040009141899645,0.012892549857497215,0.9998336864928793,0.6611111111111111,0.9993787407875061,0.9998336864928793,0.0007318203570321202,0.8999162272704874,2024-01-11,8
"pruned (30 features, casualty breakdown dropped)",0.000435574067523703,0.014885779470205307,0.9997782486571725,0.7628205128205128,0.9993250966072083,0.9997782486571725,0.0006370092160068452,0.9005445227418322,2024-04-10,9
"pruned (30 features, casualty breakdown dropped)",0.00038465726538561285,0.014251398853957653,0.9997967279357414,0.7773809523809524,0.9994192123413086,0.9997967279357414,0.0005604239413514733,0.9030084265510274,2024-07-09,10
"pruned (30 features, casualty breakdown dropped)",0.0004452082503121346,0.015884365886449814,0.9997474498595574,0.782051282051282,0.9993487000465393,0.9997474498595574,0.0005618735449388623,0.9046469225841424,2024-10-07,11
