candidate,seed,borough,held_out_start,AccHR,n_train_instances,run_fingerprint
42,42,Lambeth,2023-07-15,0.8106060606060606,6,a0347a9ba114f855
42,42,Lambeth,2023-10-13,0.6602564102564101,7,a0347a9ba114f855
42,42,Lambeth,2024-01-11,0.6888888888888888,8,a0347a9ba114f855
42,42,Lambeth,2024-04-10,0.8076923076923077,9,a0347a9ba114f855
42,42,Lambeth,2024-07-09,0.9285714285714286,10,a0347a9ba114f855
42,42,Lambeth,2024-10-07,0.8269230769230769,11,a0347a9ba114f855
1,1,Lambeth,2023-07-15,0.7196969696969696,6,bc89bb4a217040c6
1,1,Lambeth,2023-10-13,0.8076923076923077,7,bc89bb4a217040c6
1,1,Lambeth,2024-01-11,0.7347222222222222,8,bc89bb4a217040c6
1,1,Lambeth,2024-04-10,0.8846153846153846,9,bc89bb4a217040c6
1,1,Lambeth,2024-07-09,0.8214285714285714,10,bc89bb4a217040c6
1,1,Lambeth,2024-10-07,0.8141025641025641,11,bc89bb4a217040c6
7,7,Lambeth,2023-07-15,0.7878787878787878,6,767bdb01dd44afc8
7,7,Lambeth,2023-10-13,0.6025641025641025,7,767bdb01dd44afc8
7,7,Lambeth,2024-01-11,0.7347222222222222,8,767bdb01dd44afc8
7,7,Lambeth,2024-04-10,0.8076923076923077,9,767bdb01dd44afc8
7,7,Lambeth,2024-07-09,0.8928571428571429,10,767bdb01dd44afc8
7,7,Lambeth,2024-10-07,0.8012820512820512,11,767bdb01dd44afc8
