candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"z-score scaling (current), 5yr history",0.0004890826530754566,0.01607660762965679,0.9997412901000345,0.7878787878787878,0.9989859461784363,0.9997412901000345,0.0007843525963835418,0.9098149608239294,2023-07-15,6
"z-score scaling (current), 5yr history",0.00043738316162489355,0.012897670269012451,0.9998336864928793,0.7371794871794871,0.9988834261894226,0.9998336864928793,0.0008108486654236913,0.900113339575223,2023-10-13,7
"z-score scaling (current), 5yr history",0.00041524882544763386,0.01289206650108099,0.9998336864928793,0.7138888888888889,0.9989107847213745,0.9998336864928793,0.0008294457220472395,0.8975508796136599,2024-01-11,8
"z-score scaling (current), 5yr history",0.000461325776996091,0.014879697933793068,0.9997782486571725,0.8269230769230769,0.9984867572784424,0.9997782486571725,0.0006847272743470967,0.8986904351254127,2024-04-10,9
"z-score scaling (current), 5yr history",0.0004448547260835767,0.014245644211769104,0.9997967279357414,0.8928571428571429,0.9984902143478394,0.9997967279357414,0.0007815154385752976,0.9012282560488839,2024-07-09,10
"z-score scaling (current), 5yr history",0.00046101142652332783,0.015881072729825974,0.9997474498595574,0.8269230769230769,0.999008297920227,0.9997474498595574,0.0007684301235713065,0.900612280096585,2024-10-07,11
"RANK scaling, 5yr history",0.000504632480442524,0.016081735491752625,0.9997412901000345,0.6666666666666666,0.9997035264968872,0.9997412901000345,0.0005824954132549465,0.9000332627014241,2023-07-15,6
"RANK scaling, 5yr history",0.00041069535654969513,0.012895316816866398,0.9998336864928793,0.7115384615384616,0.9997299313545227,0.9998336864928793,0.0005499427788890898,0.900113339575223,2023-10-13,7
"RANK scaling, 5yr history",0.0003987681120634079,0.01289520412683487,0.9998336864928793,0.5472222222222222,0.9997425079345703,0.9998336864928793,0.0005265058716759086,0.900101020056177,2024-01-11,8
"RANK scaling, 5yr history",0.00044519841321744025,0.014889546670019627,0.9997782486571725,0.5064102564102564,0.9997599124908447,0.9997782486571725,0.0005061951815150678,0.8999100675109644,2024-04-10,9
"RANK scaling, 5yr history",0.00042258657049387693,0.014255483634769917,0.9997967279357414,0.7142857142857143,0.9997420907020569,0.9997967279357414,0.0005038797971792519,0.9004706056275563,2024-07-09,10
"RANK scaling, 5yr history",0.00046760824625380337,0.015889789909124374,0.9997474498595574,0.4115384615384616,0.9997726082801819,0.9997474498595574,0.0005287285312078893,0.8999347065490563,2024-10-07,11
"RANK scaling, 9yr history (the key test)",0.0004930182476527989,0.016080070286989212,0.9997412901000345,0.856060606060606,0.9995949864387512,0.9997412901000345,0.0005596721894107759,0.8999039077514414,2023-07-15,6
"RANK scaling, 9yr history (the key test)",0.0004009359981864691,0.01289387047290802,0.9998336864928793,0.8333333333333333,0.9996055364608765,0.9998336864928793,0.0005925002624280751,0.9003350909180505,2023-10-13,7
"RANK scaling, 9yr history (the key test)",0.0004763022589031607,0.012895477004349232,0.9998336864928793,0.7555555555555555,0.9989517331123352,0.9998336864928793,0.0011927391169592738,0.8998792687133494,2024-01-11,8
"RANK scaling, 9yr history (the key test)",0.0005071422201581299,0.014884178526699543,0.9997782486571725,0.8653846153846154,0.9989122748374939,0.9997782486571725,0.001117545529268682,0.899583600256246,2024-04-10,9
"RANK scaling, 9yr history (the key test)",0.000459957926068455,0.014250150881707668,0.9997967279357414,0.9642857142857143,0.9989925622940063,0.9997967279357414,0.0010949036804959178,0.9019735869511655,2024-07-09,10
"RANK scaling, 9yr history (the key test)",0.0005442438996396959,0.015881922096014023,0.9997474498595574,0.8589743589743589,0.9987613558769226,0.9997474498595574,0.001164889195933938,0.9002611738037747,2024-10-07,11
