candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
table starts 2022 (= instance grid start; partial early rolling features),0.0005605047335848212,0.01608254387974739,0.9997412901000345,0.7575757575757575,0.9992035627365112,0.9997412901000345,0.0007215531659312546,0.8618920317350811,2023-07-15,6
table starts 2022 (= instance grid start; partial early rolling features),0.00044527961290441453,0.012898460030555725,0.9998336864928793,0.5641025641025641,0.9992201328277588,0.9998336864928793,0.0007914139423519373,0.9020228650273493,2023-10-13,7
table starts 2022 (= instance grid start; partial early rolling features),0.0004168728773947805,0.012896769680082798,0.9998336864928793,0.5333333333333333,0.9994779229164124,0.9998336864928793,0.0007728820201009512,0.8991524170896368,2024-01-11,8
table starts 2022 (= instance grid start; partial early rolling features),0.0004604877904057503,0.014885963872075081,0.9997782486571725,0.7692307692307693,0.9991645812988281,0.9997782486571725,0.000677744799759239,0.8993680086729414,2024-04-10,9
table starts 2022 (= instance grid start; partial early rolling features),0.0004317045386414975,0.01425253227353096,0.9997967279357414,0.5071428571428571,0.9992192387580872,0.9997967279357414,0.0007079076021909714,0.9021399004582861,2024-07-09,10
table starts 2022 (= instance grid start; partial early rolling features),0.0004540746449492872,0.01588880829513073,0.9997474498595574,0.6679487179487178,0.9997127056121826,0.9997474498595574,0.0005273628630675375,0.9080779086384467,2024-10-07,11
table starts 2021 (complete early rolling features),0.0005708810640498996,0.01608644425868988,0.9997412901000345,0.7575757575757575,0.9991458058357239,0.9997412901000345,0.0007214884972199798,0.866117626767851,2023-07-15,6
table starts 2021 (complete early rolling features),0.00043912461842410266,0.012896242551505566,0.9998336864928793,0.5384615384615384,0.9992854595184326,0.9998336864928793,0.0008630618685856462,0.9021214211797172,2023-10-13,7
table starts 2021 (complete early rolling features),0.00041405396768823266,0.01289565023034811,0.9998336864928793,0.5916666666666667,0.9993748664855957,0.9998336864928793,0.0007357736467383802,0.9003289311585275,2024-01-11,8
table starts 2021 (complete early rolling features),0.00044658678234554827,0.014886283315718174,0.9997782486571725,0.7692307692307693,0.999298095703125,0.9997782486571725,0.0006884842296130955,0.8995220026610161,2024-04-10,9
table starts 2021 (complete early rolling features),0.0004288767813704908,0.014252559281885624,0.9997967279357414,0.48928571428571427,0.9992852807044983,0.9997967279357414,0.0007355140405707061,0.9030823436653033,2024-07-09,10
table starts 2021 (complete early rolling features),0.0004588689189404249,0.01588875986635685,0.9997474498595574,0.6679487179487178,0.9997046589851379,0.9997474498595574,0.0005393176688812673,0.9080101512836939,2024-10-07,11
