candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"current best (has_aadf 1.56% coverage, real DfT points only)",0.0005608083447441459,0.016082681715488434,0.9997412901000345,0.7575757575757575,0.9992049932479858,0.9997412901000345,0.0007220961851999164,0.8618489134184202,2023-07-15,6
"current best (has_aadf 1.56% coverage, real DfT points only)",0.00043764119618572295,0.012897783890366554,0.9998336864928793,0.5384615384615384,0.9992713928222656,0.9998336864928793,0.000786041549872607,0.902176859015424,2023-10-13,7
"current best (has_aadf 1.56% coverage, real DfT points only)",0.00041930892621167004,0.012896865606307983,0.9998336864928793,0.5333333333333333,0.999447762966156,0.9998336864928793,0.0007731946534477174,0.8989676243039472,2024-01-11,8
"current best (has_aadf 1.56% coverage, real DfT points only)",0.00046140619087964296,0.014886337332427502,0.9997782486571725,0.7692307692307693,0.9991877675056458,0.9997782486571725,0.0006883000023663044,0.8997622332824127,2024-04-10,9
"current best (has_aadf 1.56% coverage, real DfT points only)",0.00043339974945411086,0.014252454042434692,0.9997967279357414,0.5071428571428571,0.9992057085037231,0.9997967279357414,0.000722613709513098,0.9026265214606022,2024-07-09,10
"current best (has_aadf 1.56% coverage, real DfT points only)",0.00045350054278969765,0.01588881015777588,0.9997474498595574,0.6679487179487178,0.9997134208679199,0.9997474498595574,0.0005276881856843829,0.9085029320455329,2024-10-07,11
AADF name-propagation (has_aadf 28.35% coverage),0.000495111511554569,0.01608073152601719,0.9997412901000345,0.47121212121212114,0.9996005296707153,0.9997412901000345,0.000606735295150429,0.8511494111269896,2023-07-15,6
AADF name-propagation (has_aadf 28.35% coverage),0.00040092531708069146,0.01289483904838562,0.9998336864928793,0.5384615384615384,0.9995967745780945,0.9998336864928793,0.0007529993308708072,0.9041849406199182,2023-10-13,7
AADF name-propagation (has_aadf 28.35% coverage),0.00039463554276153445,0.01289474405348301,0.9998336864928793,0.4708333333333334,0.999680757522583,0.9998336864928793,0.0005902099655941129,0.9020351845463953,2024-01-11,8
AADF name-propagation (has_aadf 28.35% coverage),0.00043735711369663477,0.014887393452227116,0.9997782486571725,0.6602564102564101,0.9995747804641724,0.9997782486571725,0.0006312281475402415,0.9045052481151136,2024-04-10,9
AADF name-propagation (has_aadf 28.35% coverage),0.0004275044775567949,0.014251326210796833,0.9997967279357414,0.5190476190476191,0.9992503523826599,0.9997967279357414,0.0007274895324371755,0.9034765682747745,2024-07-09,10
AADF name-propagation (has_aadf 28.35% coverage),0.0004400293983053416,0.01588965579867363,0.9997474498595574,0.48846153846153845,0.999785840511322,0.9997474498595574,0.0004570539458654821,0.9139604789829006,2024-10-07,11
