candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
capacity: gat=16 gru=32 (current default),0.0005608435603789985,0.01608269102871418,0.9997412901000345,0.7575757575757575,0.9992049932479858,0.9997412901000345,0.0007222169078886509,0.8618612329374661,2023-07-15,6
capacity: gat=16 gru=32 (current default),0.0004376806318759918,0.012897785753011703,0.9998336864928793,0.5384615384615384,0.9992713332176208,0.9998336864928793,0.0007860485347919166,0.9021460602178091,2023-10-13,7
capacity: gat=16 gru=32 (current default),0.0004193635249976069,0.012895895168185234,0.9998336864928793,0.5750000000000001,0.9993722438812256,0.9998336864928793,0.0007794264238327742,0.9002426945252058,2024-01-11,8
capacity: gat=16 gru=32 (current default),0.00046154778101481497,0.014886346645653248,0.9997782486571725,0.7692307692307693,0.9991878867149353,0.9997782486571725,0.000689146516378969,0.8998484699157345,2024-04-10,9
capacity: gat=16 gru=32 (current default),0.00043315941002219915,0.014252436347305775,0.9997967279357414,0.5071428571428571,0.9992063045501709,0.9997967279357414,0.0007224261062219739,0.9026511604986941,2024-07-09,10
capacity: gat=16 gru=32 (current default),0.00045349940774030983,0.01588881015777588,0.9997474498595574,0.6679487179487178,0.9997135400772095,0.9997474498595574,0.0005276286974549294,0.908490612526487,2024-10-07,11
capacity: gat=32 gru=64 (2x),0.0005121580325067043,0.016079504042863846,0.9997412901000345,0.7393939393939394,0.9995256066322327,0.9997412901000345,0.0006640489445999265,0.8918715813334648,2023-07-15,6
capacity: gat=32 gru=64 (2x),0.0003936862340196967,0.012894672341644764,0.9998336864928793,0.5641025641025641,0.9996252655982971,0.9998336864928793,0.0007193780620582402,0.9009941851870102,2023-10-13,7
capacity: gat=32 gru=64 (2x),0.0003937197325285524,0.012894740328192711,0.9998336864928793,0.5222222222222223,0.9996634721755981,0.9998336864928793,0.0006489887018688023,0.897982062780269,2024-01-11,8
capacity: gat=32 gru=64 (2x),0.0004547566350083798,0.01488737016916275,0.9997782486571725,0.6858974358974359,0.9995446801185608,0.9997782486571725,0.0006882707821205258,0.8982099738826196,2024-04-10,9
capacity: gat=32 gru=64 (2x),0.0004349852679297328,0.014254425652325153,0.9997967279357414,0.5071428571428571,0.9996349215507507,0.9997967279357414,0.0006004971219226718,0.8983578081111714,2024-07-09,10
capacity: gat=32 gru=64 (2x),0.00045986680197529495,0.01588929072022438,0.9997474498595574,0.6769230769230768,0.9997442960739136,0.9997474498595574,0.000525144801940769,0.9347619868920317,2024-10-07,11
capacity: gat=8 gru=16 (0.5x - less overfitting at 6-11 instances),0.0005972624057903886,0.016078077256679535,0.9997412901000345,0.7575757575757575,0.9992781281471252,0.9997412901000345,0.0008492452907375991,0.9099258364953432,2023-07-15,6
capacity: gat=8 gru=16 (0.5x - less overfitting at 6-11 instances),0.0004889363772235811,0.012895421124994755,0.9998336864928793,0.5833333333333333,0.9995592832565308,0.9998336864928793,0.0007772868848405778,0.9030207460700734,2023-10-13,7
capacity: gat=8 gru=16 (0.5x - less overfitting at 6-11 instances),0.0004843914066441357,0.012895125895738602,0.9998336864928793,0.425,0.9995489716529846,0.9998336864928793,0.0007420682813972235,0.8947173902330853,2024-01-11,8
capacity: gat=8 gru=16 (0.5x - less overfitting at 6-11 instances),0.0005307656247168779,0.01488890778273344,0.9997782486571725,0.7179487179487178,0.9995779395103455,0.9997782486571725,0.0007302169688045979,0.9015362440250333,2024-04-10,9
capacity: gat=8 gru=16 (0.5x - less overfitting at 6-11 instances),0.0005432002362795174,0.014252216555178165,0.9997967279357414,0.4714285714285714,0.999092698097229,0.9997967279357414,0.0007886187522672117,0.9002488542847287,2024-07-09,10
capacity: gat=8 gru=16 (0.5x - less overfitting at 6-11 instances),0.0005599744617938995,0.015888119116425514,0.9997474498595574,0.6987179487179487,0.9995404481887817,0.9997474498595574,0.0007248201873153448,0.8959739811757749,2024-10-07,11
capacity: gat=42 gru=42 (the paper's own stated hidden size),0.00048474245704710484,0.01608121581375599,0.9997412901000345,0.6939393939393939,0.9996829032897949,0.9997412901000345,0.0005258493474684656,0.8527817474005814,2023-07-15,6
capacity: gat=42 gru=42 (the paper's own stated hidden size),0.00037273101042956114,0.012895121239125729,0.9998336864928793,0.6089743589743589,0.9997565746307373,0.9998336864928793,0.0005320054478943348,0.9015855221012171,2023-10-13,7
capacity: gat=42 gru=42 (the paper's own stated hidden size),0.0003821941209025681,0.012895108200609684,0.9998336864928793,0.6583333333333333,0.9997519254684448,0.9998336864928793,0.0005280947661958635,0.9010249839846253,2024-01-11,8
capacity: gat=42 gru=42 (the paper's own stated hidden size),0.00042714818846434355,0.014889193698763847,0.9997782486571725,0.7307692307692307,0.9997503757476807,0.9997782486571725,0.0004990576999261975,0.9012220962893609,2024-04-10,9
capacity: gat=42 gru=42 (the paper's own stated hidden size),0.00040245873969979584,0.014255208894610405,0.9997967279357414,0.5726190476190476,0.9997375011444092,0.9997967279357414,0.0005012169131077826,0.9022322968511309,2024-07-09,10
capacity: gat=42 gru=42 (the paper's own stated hidden size),0.0004511224396992475,0.0158888828009367,0.9997474498595574,0.6384615384615384,0.9997188448905945,0.9997474498595574,0.0005423331749625504,0.8977356723993495,2024-10-07,11
