candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"PAPER encoder order: GRU->GAT (temporal_first), lr=1e-3",0.0005849539884366095,0.016102278605103493,0.9997412901000345,0.5924242424242423,0.9989802837371826,0.9997412901000345,0.000735433422960341,0.9025033262701424,2023-07-15,6
"PAPER encoder order: GRU->GAT (temporal_first), lr=1e-3",0.0004684159066528082,0.012919444590806961,0.9998336864928793,0.5128205128205129,0.9991453886032104,0.9998336864928793,0.000707301078364253,0.9041418223032572,2023-10-13,7
"PAPER encoder order: GRU->GAT (temporal_first), lr=1e-3",0.00044187382445670664,0.012912148609757423,0.9998336864928793,0.49444444444444446,0.9989413619041443,0.9998336864928793,0.0006310869939625263,0.9024910067510964,2024-01-11,8
"PAPER encoder order: GRU->GAT (temporal_first), lr=1e-3",0.00047843396896496415,0.014902867376804352,0.9997782486571725,0.5833333333333333,0.999313473701477,0.9997782486571725,0.0005846558487974107,0.8989491450253783,2024-04-10,9
"PAPER encoder order: GRU->GAT (temporal_first), lr=1e-3",0.00048624270129948854,0.014274539425969124,0.9997967279357414,0.3821428571428571,0.9991346597671509,0.9997967279357414,0.0005848826840519905,0.8876459863006948,2024-07-09,10
"PAPER encoder order: GRU->GAT (temporal_first), lr=1e-3",0.0006442201556637883,0.015918157994747162,0.9997474498595574,0.4858974358974359,0.9986424446105957,0.9997474498595574,0.0006699635996483266,0.8593418912925639,2024-10-07,11
"PAPER encoder order + 2 GAT layers (their stated 2-layer GNN), lr=1e-3",0.0005583069287240505,0.01610087975859642,0.9997412901000345,0.5272727272727272,0.9991461634635925,0.9997412901000345,0.0007459300104528666,0.9020783028630562,2023-07-15,6
"PAPER encoder order + 2 GAT layers (their stated 2-layer GNN), lr=1e-3",0.0004509228456299752,0.012917972169816494,0.9998336864928793,0.5128205128205128,0.9987542033195496,0.9998336864928793,0.0007161602843552828,0.9015362440250333,2023-10-13,7
"PAPER encoder order + 2 GAT layers (their stated 2-layer GNN), lr=1e-3",0.0004152304318267852,0.012908282689750195,0.9998336864928793,0.38055555555555554,0.9992030262947083,0.9998336864928793,0.0006324230344034731,0.9012898536441137,2024-01-11,8
"PAPER encoder order + 2 GAT layers (their stated 2-layer GNN), lr=1e-3",0.0004449936968740076,0.014892847277224064,0.9997782486571725,0.5192307692307693,0.9989832639694214,0.9997782486571725,0.0005358021589927375,0.8961156556448037,2024-04-10,9
"PAPER encoder order + 2 GAT layers (their stated 2-layer GNN), lr=1e-3",0.00046292709885165095,0.014263193123042583,0.9997967279357414,0.46309523809523806,0.9988021850585938,0.9997967279357414,0.0005266269436106086,0.8691667077317301,2024-07-09,10
"PAPER encoder order + 2 GAT layers (their stated 2-layer GNN), lr=1e-3",0.0007102556992322206,0.01593100279569626,0.9997474498595574,0.6320512820512819,0.9987655282020569,0.9997474498595574,0.0006680206279270351,0.7938821268417681,2024-10-07,11
CONTROL: default order (spatial_first) at the same lr=1e-3,0.002694518305361271,0.016242563724517822,0.9997412901000345,0.2409090909090909,0.997529149055481,0.9997412901000345,0.005433795973658562,0.8968055487113783,2023-07-15,6
CONTROL: default order (spatial_first) at the same lr=1e-3,0.002594834426417947,0.01310920249670744,0.9998336864928793,0.20512820512820512,0.9975541234016418,0.9998336864928793,0.005424967501312494,0.899602079534815,2023-10-13,7
CONTROL: default order (spatial_first) at the same lr=1e-3,0.0025784973986446857,0.013106528669595718,0.9998336864928793,0.1111111111111111,0.9975971579551697,0.9998336864928793,0.005394859705120325,0.9023739713201596,2024-01-11,8
CONTROL: default order (spatial_first) at the same lr=1e-3,0.0026187412440776825,0.015063897706568241,0.9997782486571725,0.10897435897435898,0.9977009296417236,0.9997782486571725,0.005359239876270294,0.9047393189769871,2024-04-10,9
CONTROL: default order (spatial_first) at the same lr=1e-3,0.002627480309456587,0.014442041516304016,0.9997967279357414,0.16666666666666666,0.9974847435951233,0.9997967279357414,0.005309526342898607,0.904320455329424,2024-07-09,10
CONTROL: default order (spatial_first) at the same lr=1e-3,0.002698661293834448,0.01605449803173542,0.9997474498595574,0.17307692307692307,0.997538149356842,0.9997474498595574,0.00531280692666769,0.8874673532745282,2024-10-07,11
