candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"PAPER order (GRU->GAT), lr=2e-3",0.0005633808323182166,0.01609029620885849,0.9997412901000345,0.6742424242424242,0.9989756345748901,0.9997412901000345,0.0007338162395171821,0.9022507761297,2023-07-15,6
"PAPER order (GRU->GAT), lr=2e-3",0.0004536251653917134,0.01290821935981512,0.9998336864928793,0.5448717948717948,0.9991810321807861,0.9998336864928793,0.000731491600163281,0.9024848469915735,2023-10-13,7
"PAPER order (GRU->GAT), lr=2e-3",0.00043162182555533946,0.012899124063551426,0.9998336864928793,0.49444444444444446,0.9987766146659851,0.9998336864928793,0.0006609617848880589,0.9014068890750505,2024-01-11,8
"PAPER order (GRU->GAT), lr=2e-3",0.0004652137868106365,0.014891503378748894,0.9997782486571725,0.7371794871794871,0.9991287589073181,0.9997782486571725,0.0005810129805468023,0.9007169960084759,2024-04-10,9
"PAPER order (GRU->GAT), lr=2e-3",0.0004592889454215765,0.014258945360779762,0.9997967279357414,0.5666666666666667,0.9989182353019714,0.9997967279357414,0.00055734533816576,0.8895308727147292,2024-07-09,10
"PAPER order (GRU->GAT), lr=2e-3",0.0006358727696351707,0.01589968428015709,0.9997474498595574,0.6384615384615384,0.9984304904937744,0.9997474498595574,0.0006420700810849667,0.8542600896860987,2024-10-07,11
"PAPER order (GRU->GAT), lr=3e-3",0.0005499232793226838,0.01608438231050968,0.9997412901000345,0.6439393939393939,0.9989131689071655,0.9997412901000345,0.0007695400272496045,0.9012159365298379,2023-07-15,6
"PAPER order (GRU->GAT), lr=3e-3",0.0004471733991522342,0.012903920374810696,0.9998336864928793,0.5641025641025641,0.9991581439971924,0.9998336864928793,0.0007673385553061962,0.8997991918395506,2023-10-13,7
"PAPER order (GRU->GAT), lr=3e-3",0.0004217043169774115,0.012899324297904968,0.9998336864928793,0.4527777777777778,0.9991431832313538,0.9998336864928793,0.0007235727389343083,0.9022754151677919,2024-01-11,8
"PAPER order (GRU->GAT), lr=3e-3",0.00044832934509031475,0.014886891469359398,0.9997782486571725,0.7564102564102563,0.9990591406822205,0.9997782486571725,0.0006231614388525486,0.9027743556891539,2024-04-10,9
"PAPER order (GRU->GAT), lr=3e-3",0.00044199894182384014,0.014254548586905003,0.9997967279357414,0.48333333333333334,0.9989615678787231,0.9997967279357414,0.0005774085293523967,0.8867035430936776,2024-07-09,10
"PAPER order (GRU->GAT), lr=3e-3",0.0006245747208595276,0.015892066061496735,0.9997474498595574,0.6384615384615384,0.9984479546546936,0.9997474498595574,0.0006480339216068387,0.8394027497166511,2024-10-07,11
"PAPER order (GRU->GAT), lr=5e-3",,,0.0,0.21060606060606063,,0.9997412901000345,,0.0,2023-07-15,6
"PAPER order (GRU->GAT), lr=5e-3",,,0.0,0.10256410256410256,,0.9998336864928793,,0.0,2023-10-13,7
"PAPER order (GRU->GAT), lr=5e-3",,,0.0,0.1486111111111111,,0.9998336864928793,,0.0,2024-01-11,8
"PAPER order (GRU->GAT), lr=5e-3",,,0.0,0.08333333333333333,,0.9997782486571725,,0.0,2024-04-10,9
"PAPER order (GRU->GAT), lr=5e-3",,,0.0,0.09523809523809523,,0.9997967279357414,,0.0,2024-07-09,10
"PAPER order (GRU->GAT), lr=5e-3",,,0.0,0.21794871794871792,,0.9997474498595574,,0.0,2024-10-07,11
