candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"heads=3, ZIP decoder, TCR target (Lambeth validation)",0.0008928235620260239,0.021023135632276535,0.9996358339402768,0.5,0.9992591142654419,0.9996358339402768,0.00107228709384799,0.7998473970797351,2023-07-15,6
"heads=3, ZIP decoder, TCR target (Lambeth validation)",0.0006772013148292899,0.016914840787649155,0.9997658932473208,0.48148148148148145,0.9993656277656555,0.9997658932473208,0.0013357732677832246,0.9194239239759997,2023-10-13,7
"heads=3, ZIP decoder, TCR target (Lambeth validation)",0.0006728182197548449,0.019078537821769714,0.9997658932473208,0.5555555555555556,0.9993191957473755,0.9997658932473208,0.0011032758047804236,0.8985190580237922,2024-01-11,8
"heads=3, ZIP decoder, TCR target (Lambeth validation)",0.0007143963011913002,0.021634113043546677,0.9996878576630944,0.3888888888888889,0.9995532631874084,0.9996878576630944,0.0009489909280091524,0.9084729303228939,2024-04-10,9
"heads=3, ZIP decoder, TCR target (Lambeth validation)",0.0006894010002724826,0.0210218857973814,0.9997138695245031,0.48484848484848486,0.9994392395019531,0.9997138695245031,0.0009415161912329495,0.8973398536399265,2024-07-09,10
"heads=3, ZIP decoder, TCR target (Lambeth validation)",0.000722200027666986,0.021830642595887184,0.9996445045607464,0.5121951219512195,0.9993324279785156,0.9996445045607464,0.0008749103872105479,0.9027156383310789,2024-10-07,11
"heads=3, ZITD/Tweedie decoder, TCR target (Lambeth validation)",0.000794558844063431,0.021022308617830276,0.9996358339402768,0.4523809523809524,0.9993199706077576,0.9996358339402768,0.0008778470219112933,0.8366455103527208,2023-07-15,6
"heads=3, ZITD/Tweedie decoder, TCR target (Lambeth validation)",0.0006291530444286764,0.01691543310880661,0.9997658932473208,0.4444444444444444,0.9994687438011169,0.9997658932473208,0.0010416111908853054,0.9167013491485451,2023-10-13,7
"heads=3, ZITD/Tweedie decoder, TCR target (Lambeth validation)",0.0006231286097317934,0.01907651498913765,0.9997658932473208,0.4444444444444444,0.9993655681610107,0.9997658932473208,0.0008266831864602864,0.8983803280962785,2024-01-11,8
"heads=3, ZITD/Tweedie decoder, TCR target (Lambeth validation)",0.0006738496595062315,0.021633880212903023,0.9996878576630944,0.3611111111111111,0.9995617270469666,0.9996878576630944,0.0007699696579948068,0.9060364859709361,2024-04-10,9
"heads=3, ZITD/Tweedie decoder, TCR target (Lambeth validation)",0.0006490092491731048,0.021020865067839622,0.9997138695245031,0.48484848484848486,0.9994466304779053,0.9997138695245031,0.0007563454564660788,0.8954843408594318,2024-07-09,10
"heads=3, ZITD/Tweedie decoder, TCR target (Lambeth validation)",0.000692221277859062,0.021831048652529716,0.9996445045607464,0.4878048780487805,0.9994235038757324,0.9996445045607464,0.0007517376216128469,0.9006173481774356,2024-10-07,11
