candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"top-k hinge, weight=0.1",0.0008594847749918699,0.016584038734436035,0.9997412901000345,0.7424242424242423,0.9980674982070923,0.9997412901000345,0.0007096892222762108,0.8975508796136599,2023-07-15,6
"top-k hinge, weight=0.1",0.0013017322635278106,0.015015819109976292,0.9998336864928793,0.5833333333333333,0.9936195015907288,0.9998336864928793,0.0008453498012386262,0.8998238308776425,2023-10-13,7
"top-k hinge, weight=0.1",0.0009643827215768397,0.013577691279351711,0.9998336864928793,0.5083333333333333,0.9947469234466553,0.9998336864928793,0.0007992639439180493,0.900630759375154,2024-01-11,8
"top-k hinge, weight=0.1",0.0009960057213902473,0.01551305502653122,0.9997782486571725,0.7435897435897435,0.9955122470855713,0.9997782486571725,0.000778086599893868,0.9012405755679298,2024-04-10,9
"top-k hinge, weight=0.1",0.0009763554553501308,0.014852180145680904,0.9997967279357414,0.5071428571428571,0.995195209980011,0.9997967279357414,0.000807528558652848,0.9008833095155965,2024-07-09,10
"top-k hinge, weight=0.1",0.0005930520710535347,0.015890998765826225,0.9997474498595574,0.7307692307692306,0.9985873699188232,0.9997474498595574,0.0008167776395566761,0.899540481939585,2024-10-07,11
"top-k hinge, weight=0.5",0.0023311551194638014,0.020864298567175865,0.9997412901000345,0.6454545454545454,0.9825403094291687,0.9997412901000345,0.0004817424342036247,0.8962942886709703,2023-07-15,6
"top-k hinge, weight=0.5",0.002818823093548417,0.020096849650144577,0.9998336864928793,0.5192307692307693,0.9878574013710022,0.9998336864928793,0.0003409419732633978,0.9054600108411768,2023-10-13,7
"top-k hinge, weight=0.5",0.002854132791981101,0.020007673650979996,0.9998275267333563,0.6416666666666666,0.9884188771247864,0.9998336864928793,0.00047410058323293924,0.9012898536441137,2024-01-11,8
"top-k hinge, weight=0.5",0.002386542037129402,0.019871637225151062,0.9997720888976495,0.6153846153846153,0.9815582633018494,0.9997782486571725,0.0002881013206206262,0.9007601143251367,2024-04-10,9
"top-k hinge, weight=0.5",0.0038310096133500338,0.02264075167477131,0.9997905681762184,0.48928571428571427,0.9777530431747437,0.9997967279357414,0.0004268389311619103,0.8979081456659932,2024-07-09,10
"top-k hinge, weight=0.5",0.003930096980184317,0.024849658831954002,0.9997474498595574,0.7153846153846153,0.9746590852737427,0.9997474498595574,0.00045630178647115827,0.8951424136401714,2024-10-07,11
"top-k hinge, weight=1.0",0.005855113733559847,0.026820262894034386,0.9997412901000345,0.6984848484848484,0.9610394835472107,0.9997412901000345,0.012257033959031105,0.9009757059084413,2023-07-15,6
"top-k hinge, weight=1.0",0.006533227860927582,0.027409344911575317,0.9998028876952644,0.5384615384615385,0.9746785759925842,0.9998336864928793,0.012911895290017128,0.9036182427438033,2023-10-13,7
"top-k hinge, weight=1.0",0.004844767041504383,0.02369934879243374,0.9998336864928793,0.5791666666666666,0.9868217706680298,0.9998336864928793,0.002372766612097621,0.9005506825013552,2024-01-11,8
"top-k hinge, weight=1.0",0.005465284921228886,0.025974342599511147,0.9997536096190804,0.5576923076923076,0.9735822677612305,0.9997782486571725,0.001859267009422183,0.8995281624205391,2024-04-10,9
"top-k hinge, weight=1.0",0.008920790627598763,0.033021215349435806,0.9997782486571725,0.43571428571428567,0.9636034965515137,0.9997967279357414,0.026526354253292084,0.899608239294338,2024-07-09,10
"top-k hinge, weight=1.0",0.010425885207951069,0.035349149256944656,0.9997412901000345,0.708974358974359,0.9464238882064819,0.9997474498595574,0.042769014835357666,0.9014561671512344,2024-10-07,11
