candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
13 features (V10 best simple model),0.0004795544082298875,0.016075002029538155,0.9997412901000345,0.8030303030303031,0.9989065527915955,0.9997412901000345,0.0006589177646674216,0.9098026413048834,2023-07-15,6
13 features (V10 best simple model),0.00043093887506984174,0.012898726388812065,0.9998336864928793,0.7564102564102563,0.9989268183708191,0.9998336864928793,0.0007507111295126379,0.9006615581727689,2023-10-13,7
13 features (V10 best simple model),0.00041439049527980387,0.012893968261778355,0.9998336864928793,0.6888888888888888,0.9987537264823914,0.9998336864928793,0.0007463384536094964,0.8993556891538954,2024-01-11,8
13 features (V10 best simple model),0.0004492358129937202,0.014881090261042118,0.9997782486571725,0.7884615384615384,0.9986560344696045,0.9997782486571725,0.0006745809223502874,0.9007416350465678,2024-04-10,9
13 features (V10 best simple model),0.0004331271629780531,0.014246578328311443,0.9997967279357414,0.869047619047619,0.9986165165901184,0.9997967279357414,0.000773977895732969,0.9018565515202287,2024-07-09,10
13 features (V10 best simple model),0.00045253874850459397,0.01588374562561512,0.9997474498595574,0.8205128205128205,0.9991533160209656,0.9997474498595574,0.000741958967410028,0.90326097669147,2024-10-07,11
13 features + road class (8 one-hot),0.00047657970571890473,0.016077004373073578,0.9997412901000345,0.6378787878787878,0.9992009997367859,0.9997412901000345,0.0006995699368417263,0.9173360272014981,2023-07-15,6
13 features + road class (8 one-hot),0.00037044892087578773,0.012892927043139935,0.9998336864928793,0.7371794871794871,0.9994351863861084,0.9998336864928793,0.0005515016382560134,0.8969903414970679,2023-10-13,7
13 features + road class (8 one-hot),0.00036086284671910107,0.012892411090433598,0.9998336864928793,0.6680555555555555,0.9994305372238159,0.9998336864928793,0.0005469152238219976,0.8953025673877691,2024-01-11,8
13 features + road class (8 one-hot),0.00041779864113777876,0.01488556619733572,0.9997782486571725,0.7756410256410255,0.9994170665740967,0.9997782486571725,0.0005771435680799186,0.8970457793327749,2024-04-10,9
13 features + road class (8 one-hot),0.0004063572268933058,0.014250303618609905,0.9997967279357414,0.7261904761904762,0.9992676973342896,0.9997967279357414,0.0005745366797782481,0.8965283595328438,2024-07-09,10
13 features + road class (8 one-hot),0.0004485801327973604,0.015885433182120323,0.9997474498595574,0.7692307692307693,0.9994372129440308,0.9997474498595574,0.0005974794621579349,0.900630759375154,2024-10-07,11
35 features (FINAL),0.0004891040152870119,0.016076602041721344,0.9997412901000345,0.7878787878787878,0.9989861249923706,0.9997412901000345,0.0007888012914918363,0.9098149608239294,2023-07-15,6
35 features (FINAL),0.0004369222733657807,0.012897753156721592,0.9998336864928793,0.7371794871794871,0.9988930225372314,0.9998336864928793,0.0008108296897262335,0.9005075641846942,2023-10-13,7
35 features (FINAL),0.0004152560140937567,0.012892067432403564,0.9998336864928793,0.7138888888888889,0.998910665512085,0.9998336864928793,0.000829080818220973,0.8975447198541369,2024-01-11,8
35 features (FINAL),0.0004618275270331651,0.014880016446113586,0.9997782486571725,0.8269230769230769,0.9985009431838989,0.9997782486571725,0.0006855987594462931,0.8987828315182576,2024-04-10,9
35 features (FINAL),0.00044486517435871065,0.014245618134737015,0.9997967279357414,0.8928571428571429,0.9984896183013916,0.9997967279357414,0.0007830067770555615,0.9012652146060218,2024-07-09,10
35 features (FINAL),0.00046104995999485254,0.015881076455116272,0.9997474498595574,0.8269230769230769,0.9990084767341614,0.9997474498595574,0.0007688734331168234,0.900618439856108,2024-10-07,11
35 features + road class,0.00053252192446962,0.01607608236372471,0.9997412901000345,0.7045454545454546,0.9986971020698547,0.9997412901000345,0.0006954215350560844,0.9049179520031538,2023-07-15,6
35 features + road class,0.00042977940756827593,0.012899319641292095,0.9998336864928793,0.7115384615384616,0.9990971684455872,0.9998336864928793,0.0007122665410861373,0.8979266249445622,2023-10-13,7
35 features + road class,0.0004285053291823715,0.012896055355668068,0.9998336864928793,0.6819444444444445,0.9987730383872986,0.9998336864928793,0.0007092349696904421,0.8985857192135219,2024-01-11,8
35 features + road class,0.0004689242341555655,0.01488463580608368,0.9997782486571725,0.814102564102564,0.9988064169883728,0.9997782486571725,0.0006883963360451162,0.8980867786921598,2024-04-10,9
35 features + road class,0.00043394675594754517,0.014247923158109188,0.9997967279357414,0.8095238095238095,0.9985719323158264,0.9997967279357414,0.0007357466965913773,0.9031008229438723,2024-07-09,10
35 features + road class,0.0004887992981821299,0.015879373997449875,0.9997474498595574,0.7948717948717949,0.9986174702644348,0.9997474498595574,0.0007224177825264633,0.9006553984132459,2024-10-07,11
