candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"final config, weight_decay=0.0 (current)",0.00048571426304988563,0.016076529398560524,0.9997412901000345,0.7878787878787878,0.9989922046661377,0.9997412901000345,0.0007896297611296177,0.9097841620263145,2023-07-15,6
"final config, weight_decay=0.0 (current)",0.0004420124751050025,0.012897823005914688,0.9998336864928793,0.7564102564102563,0.9988544583320618,0.9998336864928793,0.0008179429569281638,0.9006553984132459,2023-10-13,7
"final config, weight_decay=0.0 (current)",0.00040763281867839396,0.012891721911728382,0.9998336864928793,0.7138888888888889,0.998849630355835,0.9998336864928793,0.000745476980227977,0.8962511703543093,2024-01-11,8
"final config, weight_decay=0.0 (current)",0.00046203474630601704,0.014879574067890644,0.9997782486571725,0.8269230769230769,0.9984778165817261,0.9997782486571725,0.0006985415238887072,0.8984748435421082,2024-04-10,9
"final config, weight_decay=0.0 (current)",0.0004442032950464636,0.014246405102312565,0.9997967279357414,0.8928571428571429,0.9985204935073853,0.9997967279357414,0.0007540048682130873,0.9019612674321195,2024-07-09,10
"final config, weight_decay=0.0 (current)",0.00048452417831867933,0.015879184007644653,0.9997474498595574,0.7884615384615384,0.998750627040863,0.9997474498595574,0.0008338309125974774,0.9006800374513378,2024-10-07,11
"final config, weight_decay=0.01 (theirs)",0.0032580506522208452,0.016312776133418083,0.9997412901000345,0.856060606060606,0.996880292892456,0.9997412901000345,0.006104068830609322,0.8990353816587,2023-07-15,6
"final config, weight_decay=0.01 (theirs)",0.0028011349495500326,0.01312866061925888,0.9998336864928793,0.8076923076923077,0.9972777366638184,0.9998336864928793,0.00538342772051692,0.9023062139654068,2023-10-13,7
"final config, weight_decay=0.01 (theirs)",0.0025114731397479773,0.01307697407901287,0.9998336864928793,0.7138888888888889,0.9975461363792419,0.9998336864928793,0.0047777132131159306,0.901696397772631,2024-01-11,8
"final config, weight_decay=0.01 (theirs)",0.002338043414056301,0.015008076094090939,0.9997782486571725,0.8461538461538461,0.997748613357544,0.9997782486571725,0.004301087465137243,0.8997375942443206,2024-04-10,9
"final config, weight_decay=0.01 (theirs)",0.002145028207451105,0.014359301887452602,0.9997967279357414,0.8928571428571429,0.9978759288787842,0.9997967279357414,0.003945283126085997,0.8942677277879072,2024-07-09,10
"final config, weight_decay=0.01 (theirs)",0.0020567646715790033,0.015963030979037285,0.9997474498595574,0.8012820512820512,0.9980224967002869,0.9997474498595574,0.0036631973925977945,0.8847201005272755,2024-10-07,11
