baseline,borough,n,GNN,base,diff,wins,t_p,w_p
EB (HSM method),Lambeth,6,77.75292762792762,82.11057461057462,-4.357646982646981,1,0.16223004297924315,0.21875
EB (HSM method),Tower Hamlets,6,82.75106837606837,87.48448310948311,-4.733414733414731,1,0.03617347121726781,0.0625
EB (HSM method),Westminster,6,79.74908028479457,81.92652585509728,-2.1774455703027122,4,0.45896409383837194,1.0
EB (HSM method),POOLED,18,80.08435876293018,83.840527858385,-3.756169095454808,6,0.011574317585327485,0.0182342529296875
raw count (no shrinkage),Lambeth,6,77.75292762792762,83.1964331964332,-5.443505568505569,1,0.09182870789463077,0.09375
raw count (no shrinkage),Tower Hamlets,6,82.75106837606837,87.36683455433453,-4.615766178266173,2,0.09385621064285517,0.15625
raw count (no shrinkage),Westminster,6,79.74908028479457,81.25358768215912,-1.504507397364537,2,0.663448867164387,0.84375
raw count (no shrinkage),POOLED,18,80.08435876293018,83.93895181097561,-3.8545930480454267,5,0.02273669678668225,0.03423309326171875
raw count CAPPED at 1825d (matched to GNN),Lambeth,6,77.75292762792762,80.8132608132608,-3.0603331853331808,2,0.20635570039474502,0.3125
raw count CAPPED at 1825d (matched to GNN),Tower Hamlets,6,82.75106837606837,85.68986568986568,-2.9387973137973074,3,0.4073170578371972,0.84375
raw count CAPPED at 1825d (matched to GNN),Westminster,6,79.74908028479457,76.46000824572253,3.2890720390720363,4,0.3581560291015644,0.4375
raw count CAPPED at 1825d (matched to GNN),POOLED,18,80.08435876293018,80.98771158294969,-0.9033528200194837,9,0.6101770028326257,0.7660293579101562
