borough,seed,base,deep,diff
Lambeth,1,79.43333333333334,79.70430032930031,0.2709669959669906
Lambeth,7,75.58333333333334,77.11661024161025,1.5332769082769073
Lambeth,42,79.43333333333334,78.71563621563621,-0.717697117697123
Lambeth,123,77.10000000000001,75.30557405557406,-1.7944259444259463
Lambeth,2024,77.18333333333334,75.60816498316497,-1.5751683501683527
Westminster,1,82.15,80.22295165152308,-1.9270483484769156
Westminster,7,79.18333333333334,80.13928531785676,0.9559519845234177
Westminster,42,79.10000000000001,81.69657723229152,2.596577232291521
Westminster,123,80.76666666666667,79.90576883434028,-0.8608978323263997
Westminster,2024,78.9,79.17604221175651,0.2760422117564961
