candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
12 features (geometry + crash history only),0.0005135223618708551,0.015315013937652111,0.9997652715736762,0.7256944444444443,0.9987614750862122,0.9997652715736762,0.0010223652934655547,0.9092027769084132,2023-07-15,6
12 features (geometry + crash history only),0.0004876741149928421,0.01435454934835434,0.9997937235041398,0.9047619047619048,0.9984399080276489,0.9997937235041398,0.0007797678117640316,0.8962215836344496,2023-10-13,7
12 features (geometry + crash history only),0.0005686923395842314,0.016423242166638374,0.9997297066605969,0.8047619047619047,0.9976873993873596,0.9997297066605969,0.0007024568622000515,0.8975943892793126,2024-01-11,8
12 features (geometry + crash history only),0.0005527699831873178,0.01642858423292637,0.9997297066605969,0.8250000000000001,0.998328685760498,0.9997297066605969,0.0007183731650002301,0.8969257689134208,2024-04-10,9
12 features (geometry + crash history only),0.0005165375769138336,0.015766922384500504,0.9997510456084445,0.891025641025641,0.998475968837738,0.9997510456084445,0.0008413378964178264,0.9009090391783082,2024-07-09,10
12 features (geometry + crash history only),0.0004994969349354506,0.015764756128191948,0.9997510456084445,0.9305555555555555,0.9985851645469666,0.9997510456084445,0.0008934790384955704,0.89773664893163,2024-10-07,11
17 features (+ casualty breakdown),0.0005232053808867931,0.01531150285154581,0.9997652715736762,0.7256944444444443,0.9986404776573181,0.9997652715736762,0.0007632807246409357,0.8969257689134208,2023-07-15,6
17 features (+ casualty breakdown),0.0004892881261184812,0.014353800565004349,0.9997937235041398,0.869047619047619,0.9986860156059265,0.9997937235041398,0.0007980375667102635,0.8993655219506643,2023-10-13,7
17 features (+ casualty breakdown),0.0005331209395080805,0.016427436843514442,0.9997297066605969,0.8166666666666667,0.9987508058547974,0.9997297066605969,0.0008784040692262352,0.9019973255185364,2024-01-11,8
17 features (+ casualty breakdown),0.0005283954087644815,0.01642882451415062,0.9997297066605969,0.8130952380952381,0.9987819790840149,0.9997297066605969,0.0008424248662777245,0.904330383816542,2024-04-10,9
17 features (+ casualty breakdown),0.000501072674524039,0.01576714962720871,0.9997510456084445,0.9423076923076923,0.9988353252410889,0.9997510456084445,0.0007593224290758371,0.9062224371923635,2024-07-09,10
