candidate,seed,borough,arm,held_out_start,AccHR,n_train_instances,run_fingerprint
42,42,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-07-15,0.4930555555555555,6,3456d1e83c0a2edf
42,42,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-10-13,0.5523809523809524,7,3456d1e83c0a2edf
42,42,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-01-11,0.7273809523809524,8,3456d1e83c0a2edf
42,42,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-04-10,0.5607142857142857,9,3456d1e83c0a2edf
42,42,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-07-09,0.6217948717948717,10,3456d1e83c0a2edf
42,42,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-10-07,0.7291666666666666,11,3456d1e83c0a2edf
1,1,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-07-15,0.6041666666666666,6,c3348249b1ca218a
1,1,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-10-13,0.6976190476190476,7,c3348249b1ca218a
1,1,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-01-11,0.7059523809523809,8,c3348249b1ca218a
1,1,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-04-10,0.6166666666666666,9,c3348249b1ca218a
1,1,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-07-09,0.6897435897435896,10,c3348249b1ca218a
1,1,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-10-07,0.7777777777777777,11,c3348249b1ca218a
7,7,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-07-15,0.4861111111111111,6,467f8f38313afbd1
7,7,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-10-13,0.619047619047619,7,467f8f38313afbd1
7,7,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-01-11,0.5761904761904761,8,467f8f38313afbd1
7,7,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-04-10,0.4214285714285714,9,467f8f38313afbd1
7,7,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-07-09,0.6038461538461537,10,467f8f38313afbd1
7,7,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-10-07,0.548611111111111,11,467f8f38313afbd1
123,123,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-07-15,0.6041666666666666,6,aa27260799d619b4
123,123,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-10-13,0.780952380952381,7,aa27260799d619b4
123,123,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-01-11,0.6797619047619047,8,aa27260799d619b4
123,123,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-04-10,0.5726190476190476,9,aa27260799d619b4
123,123,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-07-09,0.6705128205128206,10,aa27260799d619b4
123,123,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-10-07,0.7569444444444443,11,aa27260799d619b4
2024,2024,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-07-15,0.7395833333333334,6,5148122c80340ee4
2024,2024,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2023-10-13,0.7333333333333333,7,5148122c80340ee4
2024,2024,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-01-11,0.769047619047619,8,5148122c80340ee4
2024,2024,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-04-10,0.7357142857142858,9,5148122c80340ee4
2024,2024,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-07-09,0.7217948717948718,10,5148122c80340ee4
2024,2024,Tower Hamlets,"Gao et al. architecture, LONG history (the key test)",2024-10-07,0.8055555555555555,11,5148122c80340ee4
