candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0009061242453753948,0.015332632698118687,0.9997652715736762,0.3923611111111111,0.9988206624984741,0.9997652715736762,0.001870528794825077,0.9024098785102569,2023-07-15,6
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0008133750525303185,0.01437608152627945,0.9997937235041398,0.3333333333333333,0.9989199042320251,0.9997937235041398,0.0016643699491396546,0.898504851054144,2023-10-13,7
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0007871768902987242,0.016439897939562798,0.9997297066605969,0.5761904761904761,0.9988541603088379,0.9997297066605969,0.0014611192746087909,0.9059379178877287,2024-01-11,8
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0007416792213916779,0.016442669555544853,0.9997297066605969,0.3773809523809524,0.9991251230239868,0.9997297066605969,0.001272877212613821,0.8945642586849518,2024-04-10,9
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0007543157553300261,0.015779705718159676,0.9997510456084445,0.5846153846153845,0.9987866878509521,0.9997510456084445,0.0012216788018122315,0.8592625259623865,2024-07-09,10
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.000879339873790741,0.015786850824952126,0.9997510456084445,0.673611111111111,0.9984888434410095,0.9997510456084445,0.0013880582991987467,0.8205038836885082,2024-10-07,11
"Gao et al. architecture, LONG history (the key test)",0.0008675245917402208,0.015352373942732811,0.9997652715736762,0.4930555555555555,0.9982529878616333,0.9997652715736762,0.0016943125519901514,0.8967123794349446,2023-07-15,6
"Gao et al. architecture, LONG history (the key test)",0.0007974113104864955,0.014391186647117138,0.9997937235041398,0.5666666666666667,0.9984889626502991,0.9997937235041398,0.0015781772090122104,0.8954533815119355,2023-10-13,7
"Gao et al. architecture, LONG history (the key test)",0.0007582568214274943,0.01644200272858143,0.9997297066605969,0.7273809523809524,0.9980587363243103,0.9997297066605969,0.0013584303669631481,0.9058525620963382,2024-01-11,8
"Gao et al. architecture, LONG history (the key test)",0.0006886912160553038,0.016443323343992233,0.9997297066605969,0.5607142857142857,0.9988142251968384,0.9997297066605969,0.001144129317253828,0.8980496201667283,2024-04-10,9
"Gao et al. architecture, LONG history (the key test)",0.0007123570539988577,0.015782097354531288,0.9997510456084445,0.6217948717948717,0.9981104135513306,0.9997510456084445,0.0010912201832979918,0.8714043872876774,2024-07-09,10
"Gao et al. architecture, LONG history (the key test)",0.000858934479765594,0.01579437591135502,0.9997510456084445,0.7291666666666666,0.997761070728302,0.9997510456084445,0.0012514026602730155,0.8320126895609867,2024-10-07,11
"This project's architecture, SHORT history",0.0005658233421854675,0.01531913410872221,0.9997652715736762,0.579861111111111,0.9993721842765808,0.9997652715736762,0.0008205778431147337,0.8780905909465957,2023-07-15,6
"This project's architecture, SHORT history",0.0005356893525458872,0.014364095404744148,0.9997937235041398,0.5857142857142856,0.9992852807044983,0.9997937235041398,0.0009565145592205226,0.8941232537627678,2023-10-13,7
"This project's architecture, SHORT history",0.0005575583782047033,0.01643277145922184,0.9997297066605969,0.7369047619047617,0.999136745929718,0.9997297066605969,0.0009683988755568862,0.9018408399009873,2024-01-11,8
"This project's architecture, SHORT history",0.0005547477630898356,0.01643628254532814,0.9997297066605969,0.6178571428571429,0.9992769956588745,0.9997297066605969,0.0009361571283079684,0.9031425157196916,2024-04-10,9
"This project's architecture, SHORT history",0.0005734511069022119,0.01577400416135788,0.9997510456084445,0.7038461538461539,0.9991699457168579,0.9997510456084445,0.0009756879298947752,0.8992090363331152,2024-07-09,10
"This project's architecture, SHORT history",0.0005098434048704803,0.015773523598909378,0.9997510456084445,0.6944444444444443,0.9993950724601746,0.9997510456084445,0.0007124660769477487,0.9118559194241329,2024-10-07,11
"This project's architecture, LONG history (final model)",0.0005300185875967145,0.015314728021621704,0.9997652715736762,0.8159722222222222,0.9984750747680664,0.9997652715736762,0.000820642919279635,0.8968973169829573,2023-07-15,6
"This project's architecture, LONG history (final model)",0.0004890114068984985,0.01435648463666439,0.9997937235041398,0.819047619047619,0.9985641837120056,0.9997937235041398,0.0008997585973702371,0.8998634307337753,2023-10-13,7
"This project's architecture, LONG history (final model)",0.0005357589107006788,0.016426436603069305,0.9997297066605969,0.8285714285714285,0.9985536336898804,0.9997297066605969,0.0009120980394072831,0.8969328818960366,2024-01-11,8
"This project's architecture, LONG history (final model)",0.000545863586012274,0.016430748626589775,0.9997297066605969,0.7714285714285715,0.9987910389900208,0.9997297066605969,0.0009723351686261594,0.9033487922155519,2024-04-10,9
"This project's architecture, LONG history (final model)",0.0005249177338555455,0.01576697826385498,0.9997510456084445,0.891025641025641,0.998261034488678,0.9997510456084445,0.0007802412146702409,0.9050843599738242,2024-07-09,10
"This project's architecture, LONG history (final model)",0.0005166659830138087,0.015764733776450157,0.9997510456084445,0.9097222222222222,0.998181164264679,0.9997510456084445,0.0008046284783631563,0.9029362392238314,2024-10-07,11
