split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,9505,662,0.14751273061311962,0.2174653876913262,0.9,0.64,0.52
temporal,xgboost,9505,662,0.2490799975180153,0.2146131438580089,0.9,0.72,0.56
spatial,historical_rate,5703,455,0.13996886022584276,0.1831571930152943,0.7,0.52,0.54
spatial,xgboost,5703,455,0.20989100931005616,0.19239891925842834,0.4,0.48,0.46
spatiotemporal,historical_rate,1901,129,0.1458692031364921,0.22240239308206103,0.5,0.4,0.32
spatiotemporal,xgboost,1901,129,0.2071370545163251,0.19615143600208498,0.4,0.44,0.3
temporal,gat_temporal,9505,662,0.25880131281083685,0.2555786728873762,0.4,0.52,0.56
spatiotemporal,gat_temporal,1901,129,0.24625980350858778,0.23969830854640953,0.6,0.44,0.38
temporal,gat_no_graph,9505,662,0.21787358391260198,0.2068519397818716,0.3,0.56,0.52
temporal,gat_no_temporal,9505,662,0.2089196057036687,0.13322710192474627,0.6,0.56,0.52
