candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
BASELINE (this project's architecture),0.0005785656394436955,0.018275195732712746,0.9996653193625621,0.7040816326530612,0.9984963536262512,0.9996653193625621,0.0009653220768086612,0.9203266997914682,2023-07-15,6
BASELINE (this project's architecture),0.0006262249662540853,0.019471606239676476,0.9996202661998301,0.8171768707482993,0.9988744258880615,0.9996202661998301,0.0007726869080215693,0.8934878871353912,2023-10-13,7
BASELINE (this project's architecture),0.0004442438657861203,0.013656231574714184,0.9998133511829673,0.8984848484848484,0.9990881681442261,0.9998133511829673,0.0009343124693259597,0.8928635790232474,2024-01-11,8
BASELINE (this project's architecture),0.0004721099976450205,0.014784490689635277,0.9997811703524444,0.7371794871794872,0.998956561088562,0.9997811703524444,0.0009624474332667887,0.8982184692222537,2024-04-10,9
BASELINE (this project's architecture),0.0005364857497625053,0.016231533139944077,0.9997361171897124,0.8472527472527474,0.9984782934188843,0.9997361171897124,0.0009008212946355343,0.8996022449347373,2024-07-09,10
BASELINE (this project's architecture),0.0005835022311657667,0.01719372533261776,0.9997039363591895,0.7487179487179488,0.9983583688735962,0.9997039363591895,0.0008998206467367709,0.899924053239966,2024-10-07,11
layers 1 -> 2 (their depth),0.0006139629404060543,0.018290622159838676,0.9996653193625621,0.7081632653061225,0.9996708631515503,0.9996653193625621,0.0006832400686107576,0.8971629379811035,2023-07-15,6
layers 1 -> 2 (their depth),0.0006693862960673869,0.019482186064124107,0.9996202661998301,0.7891156462585034,0.9996451139450073,0.9996202661998301,0.0006716602365486324,0.8996923512602013,2023-10-13,7
layers 1 -> 2 (their depth),0.0004906899994239211,0.013661455363035202,0.9998133511829673,0.14242424242424243,0.9997023344039917,0.9998133511829673,0.0006714116898365319,0.924478026928919,2024-01-11,8
layers 1 -> 2 (their depth),0.0005067753372713923,0.01479151751846075,0.9997811703524444,0.041025641025641026,0.9997079372406006,0.9997811703524444,0.0006447434425354004,0.923055634219808,2024-04-10,9
layers 1 -> 2 (their depth),0.0005427508731372654,0.016242295503616333,0.9997361171897124,0.2258241758241758,0.9997109174728394,0.9997361171897124,0.0006188492989167571,0.9217104755039518,2024-07-09,10
layers 1 -> 2 (their depth),0.0005787758273072541,0.01720406860113144,0.9997039363591895,0.25384615384615383,0.9997174739837646,0.9997039363591895,0.0006118838209658861,0.9280951522796901,2024-10-07,11
"encoder order -> temporal_first, at its own lr=5e-4",0.0007737062405794859,0.018308313563466072,0.9996653193625621,0.6581632653061226,0.9985681176185608,0.9996653193625621,0.0013885661028325558,0.9013850629457045,2023-07-15,6
"encoder order -> temporal_first, at its own lr=5e-4",0.0007935811881907284,0.019488586112856865,0.9996202661998301,0.7040816326530612,0.9984138607978821,0.9996202661998301,0.0013413357082754374,0.9027688386581881,2023-10-13,7
"encoder order -> temporal_first, at its own lr=5e-4",0.0005924056749790907,0.013685505837202072,0.9998133511829673,0.7787878787878788,0.9984467625617981,0.9998133511829673,0.0013161052484065294,0.9031550086244626,2024-01-11,8
"encoder order -> temporal_first, at its own lr=5e-4",0.0006083767511881888,0.014810610562562943,0.9997811703524444,0.6935897435897436,0.9986388087272644,0.9997811703524444,0.0012303434778004885,0.8999819787349072,2024-04-10,9
"encoder order -> temporal_first, at its own lr=5e-4",0.0006827085744589567,0.016258303076028824,0.9997361171897124,0.7697802197802198,0.9985263347625732,0.9997361171897124,0.0012335475767031312,0.8913253353242541,2024-07-09,10
"encoder order -> temporal_first, at its own lr=5e-4",0.000874993740580976,0.01724766008555889,0.9997039363591895,0.5833333333333334,0.9984230399131775,0.9997039363591895,0.0013402276672422886,0.8650786499497979,2024-10-07,11
