split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,7552,859,0.2271402043374759,0.26424536733820436,0.9,0.72,0.6
temporal,xgboost,7552,859,0.3318662265594967,0.2725324162804843,0.8,0.8,0.7
spatial,historical_rate,4530,591,0.21228288077757831,0.23252205149717856,0.9,0.68,0.52
spatial,xgboost,4530,591,0.3282667140936071,0.2717578714112596,0.8,0.64,0.64
spatiotemporal,historical_rate,1510,192,0.257694885804136,0.2902798974381563,0.7,0.56,0.62
spatiotemporal,xgboost,1510,192,0.3465863054737918,0.27498968245706285,0.6,0.64,0.6
temporal,gat_temporal,7552,859,0.31075289748574536,0.2917206832327473,0.8,0.64,0.62
spatiotemporal,gat_temporal,1510,192,0.33712584265123424,0.3159391561650706,0.6,0.48,0.46
temporal,gat_no_graph,7552,859,0.30723516752177255,0.25681014883140046,0.6,0.72,0.74
temporal,gat_no_temporal,7552,859,0.2481967837231463,0.11923272559836007,0.7,0.72,0.58
