candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
12 features (geometry + crash history only),0.0005699187167920172,0.018275801092386246,0.9996653193625621,0.7557823129251701,0.9984695911407471,0.9996653193625621,0.000935506890527904,0.9241948356203177,2023-07-15,6
12 features (geometry + crash history only),0.0006348764873109758,0.019467636942863464,0.9996202661998301,0.7636054421768709,0.9986060261726379,0.9996202661998301,0.0008102938299998641,0.8948587905156656,2023-10-13,7
12 features (geometry + crash history only),0.00046804946032352746,0.013656015507876873,0.9998133511829673,0.8196969696969696,0.9984885454177856,0.9998133511829673,0.0008694221614859998,0.8990744793141622,2024-01-11,8
12 features (geometry + crash history only),0.0004903660737909377,0.014779433608055115,0.9997811703524444,0.7474358974358974,0.9980522394180298,0.9997811703524444,0.0007803800399415195,0.8995507556059007,2024-04-10,9
12 features (geometry + crash history only),0.00052405841415748,0.01623278111219406,0.9997361171897124,0.8197802197802199,0.9986635446548462,0.9997361171897124,0.0007806891808286309,0.9005354890199007,2024-07-09,10
12 features (geometry + crash history only),0.0005550687201321125,0.017198102548718452,0.9997039363591895,0.6410256410256411,0.9990600347518921,0.9997039363591895,0.0008690179674886167,0.9000720850603713,2024-10-07,11
17 features (+ casualty breakdown),0.0006092481198720634,0.018275409936904907,0.9996653193625621,0.7481292517006803,0.9984405040740967,0.9996653193625621,0.0008329292177222669,0.9038436783976521,2023-07-15,6
17 features (+ casualty breakdown),0.0006552998092956841,0.01946837268769741,0.9996202661998301,0.7636054421768709,0.9986122250556946,0.9996202661998301,0.000824158953037113,0.8968990551708158,2023-10-13,7
17 features (+ casualty breakdown),0.0004889238043688238,0.013654644601047039,0.9998133511829673,0.8196969696969696,0.9982978105545044,0.9998133511829673,0.0010320241563022137,0.9020029348917437,2024-01-11,8
17 features (+ casualty breakdown),0.0004924734821543097,0.014783496037125587,0.9997811703524444,0.7474358974358974,0.9986228942871094,0.9997811703524444,0.0009830838534981012,0.9027109131632469,2024-04-10,9
17 features (+ casualty breakdown),0.0005346328835003078,0.016230320557951927,0.9997361171897124,0.8197802197802199,0.9985049366950989,0.9997361171897124,0.0008979063713923097,0.901256339623613,2024-07-09,10
17 features (+ casualty breakdown),0.0005635079578496516,0.01719769649207592,0.9997039363591895,0.6692307692307692,0.9990279078483582,0.9997039363591895,0.0008862103568390012,0.9000334680637437,2024-10-07,11
20 features (+ traffic exposure),0.0005443175905384123,0.01827942579984665,0.9996653193625621,0.7117346938775511,0.9989016056060791,0.9996653193625621,0.000941640289966017,0.935104137167572,2023-07-15,6
20 features (+ traffic exposure),0.0006283294642344117,0.01946904882788658,0.9996202661998301,0.7576530612244898,0.9987339973449707,0.9996202661998301,0.000598987506236881,0.8917115052905286,2023-10-13,7
20 features (+ traffic exposure),0.00046361717977561057,0.01365711446851492,0.9998133511829673,0.8196969696969696,0.99863201379776,0.9998133511829673,0.0007533127209171653,0.8925546430502278,2024-01-11,8
20 features (+ traffic exposure),0.0004844045324716717,0.014785518869757652,0.9997811703524444,0.7346153846153846,0.9989139437675476,0.9997811703524444,0.0008696327568031847,0.8951677264886853,2024-04-10,9
20 features (+ traffic exposure),0.0005325962556526065,0.01623525097966194,0.9997361171897124,0.7895604395604396,0.9989814758300781,0.9997361171897124,0.0008941941778175533,0.8993447982905542,2024-07-09,10
20 features (+ traffic exposure),0.0005729799158871174,0.01719687692821026,0.9997039363591895,0.6564102564102564,0.9989293813705444,0.9997039363591895,0.0008182377787306905,0.8991903303040445,2024-10-07,11
25 features (+ POI),0.0005848160944879055,0.018284978345036507,0.9996653193625621,0.7183673469387756,0.9992409348487854,0.9996653193625621,0.0008425954729318619,0.8896068789743325,2023-07-15,6
25 features (+ POI),0.0006443301681429148,0.01947661302983761,0.9996202661998301,0.7814625850340136,0.9992997646331787,0.9996202661998301,0.0008793759625405073,0.8987719795072471,2023-10-13,7
25 features (+ POI),0.00045806594425812364,0.013657869771122932,0.9998133511829673,0.8984848484848484,0.9993758201599121,0.9998133511829673,0.0008136314572766423,0.9001621913858353,2024-01-11,8
25 features (+ POI),0.0004661471175495535,0.01478672493249178,0.9997811703524444,0.8141025641025641,0.9991869330406189,0.9997811703524444,0.000970938999671489,0.9014687331050639,2024-04-10,9
25 features (+ POI),0.0005037311930209398,0.016233472153544426,0.9997361171897124,0.8857142857142859,0.9989716410636902,0.9997361171897124,0.0009950072271749377,0.9035347424246325,2024-07-09,10
25 features (+ POI),0.0005248034722171724,0.017197340726852417,0.9997039363591895,0.6923076923076922,0.999165415763855,0.9997039363591895,0.0009070505038835108,0.9061542620291945,2024-10-07,11
35 features (+ socio-demographic = FINAL),0.0005794673343189061,0.01827557012438774,0.9996653193625621,0.7421768707482993,0.998514711856842,0.9996653193625621,0.0009874323150143027,0.919753881008161,2023-07-15,6
35 features (+ socio-demographic = FINAL),0.0006697536446154118,0.0194690003991127,0.9996202661998301,0.7993197278911565,0.9985330700874329,0.9996202661998301,0.0008872512844391167,0.8941701207424761,2023-10-13,7
35 features (+ socio-demographic = FINAL),0.00044088150025345385,0.013656754046678543,0.9998133511829673,0.8984848484848484,0.9991685152053833,0.9998133511829673,0.0009426289470866323,0.892870015189352,2024-01-11,8
35 features (+ socio-demographic = FINAL),0.00047692388761788607,0.014784075319766998,0.9997811703524444,0.7371794871794872,0.9988939762115479,0.9997811703524444,0.0009696193737909198,0.8981347990628942,2024-04-10,9
35 features (+ socio-demographic = FINAL),0.0005334407906048,0.016231263056397438,0.9997361171897124,0.8664835164835166,0.9985172748565674,0.9997361171897124,0.0009220379288308322,0.9005419251860052,2024-07-09,10
