candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
13 features (V10 best simple model),0.0005699120229110122,0.018275801092386246,0.9996653193625621,0.7557823129251701,0.9984695911407471,0.9996653193625621,0.000935488729737699,0.9242012717864223,2023-07-15,6
13 features (V10 best simple model),0.0006348759052343667,0.019467636942863464,0.9996202661998301,0.7636054421768709,0.9986060261726379,0.9996202661998301,0.0008103220607154071,0.8948652266817702,2023-10-13,7
13 features (V10 best simple model),0.0004680511774495244,0.013656016439199448,0.9998133511829673,0.8196969696969696,0.9984884858131409,0.9998133511829673,0.0008693915442563593,0.8990744793141622,2024-01-11,8
13 features (V10 best simple model),0.0004903586232103407,0.014779433608055115,0.9997811703524444,0.7474358974358974,0.9980522394180298,0.9997811703524444,0.0007803590269759297,0.8995507556059007,2024-04-10,9
13 features (V10 best simple model),0.0005240567843429744,0.01623278297483921,0.9997361171897124,0.8197802197802199,0.9986637234687805,0.9997361171897124,0.0007806503563188016,0.9005419251860052,2024-07-09,10
13 features (V10 best simple model),0.0005550684873014688,0.017198102548718452,0.9997039363591895,0.6410256410256411,0.9990600347518921,0.9997039363591895,0.0008690211689099669,0.9000720850603713,2024-10-07,11
13 features + road class (8 one-hot),0.000545124989002943,0.018280087038874626,0.9996653193625621,0.7700680272108843,0.9989495873451233,0.9996653193625621,0.0009547793306410313,0.9309141930334938,2023-07-15,6
13 features + road class (8 one-hot),0.0006089074886403978,0.019474457949399948,0.9996202661998301,0.7636054421768709,0.9991981983184814,0.9996202661998301,0.0005957892863079906,0.8889439538655614,2023-10-13,7
13 features + road class (8 one-hot),0.0004435977025423199,0.01365615800023079,0.9998133511829673,0.8318181818181819,0.999165415763855,0.9998133511829673,0.0007347171194851398,0.888692943387483,2024-01-11,8
13 features + road class (8 one-hot),0.00046464716433547437,0.014786472544074059,0.9997811703524444,0.7346153846153846,0.9992490410804749,0.9997811703524444,0.0007622947450727224,0.8951612903225806,2024-04-10,9
13 features + road class (8 one-hot),0.0005118742119520903,0.01623699441552162,0.9997361171897124,0.7274725274725274,0.9992861151695251,0.9997361171897124,0.0007717541302554309,0.896699534021574,2024-07-09,10
13 features + road class (8 one-hot),0.0005480455001816154,0.01719951443374157,0.9997039363591895,0.6974358974358974,0.9993239641189575,0.9997039363591895,0.000833148427773267,0.8980897459001622,2024-10-07,11
35 features (FINAL),0.0005793958553113043,0.018275564536452293,0.9996653193625621,0.7421768707482993,0.9985145926475525,0.9996653193625621,0.0009874793468043208,0.9197731895064748,2023-07-15,6
35 features (FINAL),0.0006696016062051058,0.019468998536467552,0.9996202661998301,0.7993197278911565,0.9985330700874329,0.9996202661998301,0.0008875844068825245,0.8941636845763715,2023-10-13,7
35 features (FINAL),0.0004408647073432803,0.013656753115355968,0.9998133511829673,0.8984848484848484,0.9991684556007385,0.9998133511829673,0.0009425933239981532,0.8928828875215612,2024-01-11,8
35 features (FINAL),0.00047706832992844284,0.0147840715944767,0.9997811703524444,0.7371794871794872,0.9988930821418762,0.9997811703524444,0.0009698611684143543,0.898154107561208,2024-04-10,9
35 features (FINAL),0.0005335368914529681,0.016231277957558632,0.9997361171897124,0.8664835164835166,0.9985159039497375,0.9997361171897124,0.0009206014801748097,0.900696393172515,2024-07-09,10
35 features (FINAL),0.0005814505857415497,0.017193930223584175,0.9997039363591895,0.7487179487179488,0.9984030723571777,0.9997039363591895,0.0008929938776418567,0.8999176170738614,2024-10-07,11
35 features + road class,0.0005695882136933506,0.018275918439030647,0.9996653193625621,0.717687074829932,0.9986905455589294,0.9996653193625621,0.001061595045030117,0.9215366990191283,2023-07-15,6
35 features + road class,0.000624929612968117,0.01947007142007351,0.9996202661998301,0.8826530612244897,0.9987719058990479,0.9996202661998301,0.0008052152115851641,0.8939126740982931,2023-10-13,7
35 features + road class,0.00045889915782026947,0.013656160794198513,0.9998133511829673,0.8454545454545456,0.9987242221832275,0.9998133511829673,0.0010036865714937449,0.8972980974692994,2024-01-11,8
35 features + road class,0.000485490367282182,0.014782516285777092,0.9997811703524444,0.8269230769230769,0.9986532926559448,0.9997811703524444,0.0009211183059960604,0.8964485235434956,2024-04-10,9
35 features + road class,0.000535634986590594,0.01622895896434784,0.9997361171897124,0.8774725274725276,0.9984570145606995,0.9997361171897124,0.0009743788396008313,0.899274000463404,2024-07-09,10
35 features + road class,0.0005690847174264491,0.0171948354691267,0.9997039363591895,0.7769230769230769,0.998722493648529,0.9997039363591895,0.0008626520866528153,0.8986754370156785,2024-10-07,11
