candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
SHORT history only (7/14/30d - the original cap),0.0006478208233602345,0.01828278787434101,0.9996653193625621,0.6302721088435375,0.9990071058273315,0.9996653193625621,0.0010076845064759254,0.8740184846690523,2023-07-15,6
SHORT history only (7/14/30d - the original cap),0.0006681663217023015,0.01947740651667118,0.9996202661998301,0.6301020408163265,0.9992451667785645,0.9996202661998301,0.0011015486670657992,0.9019771902273254,2023-10-13,7
SHORT history only (7/14/30d - the original cap),0.0004910950665362179,0.013659059070050716,0.9998133511829673,0.7242424242424241,0.999040961265564,0.9998133511829673,0.0011138690169900656,0.9005419251860052,2024-01-11,8
SHORT history only (7/14/30d - the original cap),0.0004970084992237389,0.01478718500584364,0.9997811703524444,0.7128205128205127,0.9990114569664001,0.9997811703524444,0.0010183928534388542,0.9017390520814561,2024-04-10,9
SHORT history only (7/14/30d - the original cap),0.0005498811951838434,0.016231805086135864,0.9997361171897124,0.8318681318681319,0.9987642168998718,0.9997361171897124,0.0010576897766441107,0.8984501712020184,2024-07-09,10
SHORT history only (7/14/30d - the original cap),0.000555591017473489,0.017198555171489716,0.9997039363591895,0.6807692307692308,0.9992378354072571,0.9997039363591895,0.000989629770629108,0.9022475092037175,2024-10-07,11
FULL history ladder (+90/365/730/1095/1825d),0.0005792128504253924,0.018275564536452293,0.9996653193625621,0.7421768707482993,0.9985153675079346,0.9996653193625621,0.0009863324230536819,0.9197410086759519,2023-07-15,6
FULL history ladder (+90/365/730/1095/1825d),0.0006253219908103347,0.01947098597884178,0.9996202661998301,0.7993197278911565,0.9988407492637634,0.9996202661998301,0.0007704977178946137,0.8931210256674305,2023-10-13,7
FULL history ladder (+90/365/730/1095/1825d),0.00044087329297326505,0.01365675125271082,0.9998133511829673,0.8984848484848484,0.9991683959960938,0.9998133511829673,0.0009425369207747281,0.8928893236876657,2024-01-11,8
FULL history ladder (+90/365/730/1095/1825d),0.00047705008182674646,0.0147840715944767,0.9997811703524444,0.7371794871794872,0.9988932013511658,0.9997811703524444,0.0009698725771158934,0.8981798522256262,2024-04-10,9
FULL history ladder (+90/365/730/1095/1825d),0.0005339736235328019,0.016231302171945572,0.9997361171897124,0.8664835164835166,0.9985167384147644,0.9997361171897124,0.000920009973924607,0.9002651700435085,2024-07-09,10
FULL history ladder (+90/365/730/1095/1825d),0.0005814687465317547,0.017193909734487534,0.9997039363591895,0.7487179487179488,0.998401403427124,0.9997039363591895,0.0008931064512580633,0.8999755425688026,2024-10-07,11
