candidate,seed,borough,held_out_start,AccHR,n_train_instances,run_fingerprint
42,42,Westminster,2023-07-15,0.7040816326530612,6,9ab21ad958d4f935
42,42,Westminster,2023-10-13,0.8171768707482993,7,9ab21ad958d4f935
42,42,Westminster,2024-01-11,0.8984848484848484,8,9ab21ad958d4f935
42,42,Westminster,2024-04-10,0.7371794871794872,9,9ab21ad958d4f935
42,42,Westminster,2024-07-09,0.8472527472527474,10,9ab21ad958d4f935
42,42,Westminster,2024-10-07,0.7487179487179488,11,9ab21ad958d4f935
1,1,Westminster,2023-07-15,0.7040816326530612,6,e0dafb26f4615d6b
1,1,Westminster,2023-10-13,0.7695578231292517,7,e0dafb26f4615d6b
1,1,Westminster,2024-01-11,0.8803030303030304,8,e0dafb26f4615d6b
1,1,Westminster,2024-04-10,0.8333333333333333,9,e0dafb26f4615d6b
1,1,Westminster,2024-07-09,0.8967032967032968,10,e0dafb26f4615d6b
1,1,Westminster,2024-10-07,0.7551282051282051,11,e0dafb26f4615d6b
7,7,Westminster,2023-07-15,0.7421768707482993,6,517fd5bedb743f79
