candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0009812376229092479,0.018289245665073395,0.9996653193625621,0.4418367346938776,0.9982079863548279,0.9996653193625621,0.0016945615643635392,0.8999176170738614,2023-07-15,6
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0009471028461121023,0.019483815878629684,0.9996202661998301,0.3979591836734694,0.9987328052520752,0.9996202661998301,0.0015277463244274259,0.9053690497644363,2023-10-13,7
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0006902219611220062,0.013667627237737179,0.9998133511829673,0.49090909090909085,0.9985905885696411,0.9998133511829673,0.0013566937996074557,0.9030777746312076,2024-01-11,8
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0006783773424103856,0.014795388095080853,0.9997811703524444,0.37307692307692303,0.9986811280250549,0.9997811703524444,0.0011850898154079914,0.8933591638132997,2024-04-10,9
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.0007556388736702502,0.016240928322076797,0.9997361171897124,0.6452380952380952,0.9983572363853455,0.9997361171897124,0.0011611665831878781,0.8667777978014056,2024-07-09,10
"Gao et al. architecture (ZI-Tweedie, GRU->GAT, 2-layer/42), SHORT history",0.000941747915931046,0.017218973487615585,0.9997039363591895,0.3961538461538462,0.9985541701316833,0.9997039363591895,0.0013524338137358427,0.8292034600828978,2024-10-07,11
"Gao et al. architecture, LONG history (the key test)",0.0009869318455457687,0.01830630749464035,0.9996653193625621,0.623469387755102,0.9978641867637634,0.9996653193625621,0.0017906723078340292,0.8938740571016657,2023-07-15,6
"Gao et al. architecture, LONG history (the key test)",0.0009676765184849501,0.019482675939798355,0.9996202661998301,0.6802721088435374,0.9979074597358704,0.9996202661998301,0.0016807611100375652,0.9016746904204104,2023-10-13,7
"Gao et al. architecture, LONG history (the key test)",0.0007085740799084306,0.013683320954442024,0.9998133511829673,0.8803030303030301,0.9982612133026123,0.9998133511829673,0.0014720759354531765,0.902331179363077,2024-01-11,8
"Gao et al. architecture, LONG history (the key test)",0.0006839761626906693,0.014803656376898289,0.9997811703524444,0.6974358974358974,0.9982519745826721,0.9997811703524444,0.0012456632684916258,0.897986767242489,2024-04-10,9
"Gao et al. architecture, LONG history (the key test)",0.0007451163255609572,0.01624811254441738,0.9997361171897124,0.7441391941391942,0.9980221390724182,0.9997361171897124,0.0011789555428549647,0.8815874160080324,2024-07-09,10
"Gao et al. architecture, LONG history (the key test)",0.0009139208705164492,0.017224973067641258,0.9997039363591895,0.6217948717948718,0.9981579184532166,0.9997039363591895,0.0013118997449055314,0.8520454135880339,2024-10-07,11
"This project's architecture, SHORT history",0.0006479185540229082,0.018282705917954445,0.9996653193625621,0.6302721088435375,0.9990016222000122,0.9996653193625621,0.001007700921036303,0.8740056123368432,2023-07-15,6
"This project's architecture, SHORT history",0.0006682316306978464,0.01947740837931633,0.9996202661998301,0.6301020408163265,0.9992451667785645,0.9996202661998301,0.0011016277130693197,0.9019514455629071,2023-10-13,7
"This project's architecture, SHORT history",0.0004910555435344577,0.013659035786986351,0.9998133511829673,0.7242424242424241,0.999040961265564,0.9998133511829673,0.0011138668050989509,0.9005354890199007,2024-01-11,8
"This project's architecture, SHORT history",0.0004955307813361287,0.014786840416491032,0.9997811703524444,0.7128205128205127,0.9989925622940063,0.9997811703524444,0.0010343441972509027,0.9047318693200834,2024-04-10,9
"This project's architecture, SHORT history",0.0005498307291418314,0.01623184233903885,0.9997361171897124,0.8318681318681319,0.9987668395042419,0.9997361171897124,0.0010574138723313808,0.8983922457070772,2024-07-09,10
"This project's architecture, SHORT history",0.0005555920070037246,0.017198555171489716,0.9997039363591895,0.6807692307692308,0.9992378354072571,0.9997039363591895,0.0009896153351292014,0.9022410730376129,2024-10-07,11
"This project's architecture, LONG history (final model)",0.0005792465526610613,0.018275560811161995,0.9996653193625621,0.7421768707482993,0.9985151290893555,0.9996653193625621,0.0009864185703918338,0.9197603171742657,2023-07-15,6
"This project's architecture, LONG history (final model)",0.0006666395347565413,0.01946900598704815,0.9996202661998301,0.7993197278911565,0.9985411763191223,0.9996202661998301,0.0008724022191017866,0.8941958654068944,2023-10-13,7
"This project's architecture, LONG history (final model)",0.00044085405534133315,0.013656753115355968,0.9998133511829673,0.8984848484848484,0.9991684556007385,0.9998133511829673,0.0009425122989341617,0.8928893236876657,2024-01-11,8
"This project's architecture, LONG history (final model)",0.0004780537565238774,0.014784052968025208,0.9997811703524444,0.7371794871794872,0.9988849759101868,0.9997811703524444,0.0009715130436234176,0.8982377777205675,2024-04-10,9
"This project's architecture, LONG history (final model)",0.0005336292088031769,0.016231277957558632,0.9997361171897124,0.8664835164835166,0.9985159039497375,0.9997361171897124,0.0009210303542204201,0.9007157016708287,2024-07-09,10
"This project's architecture, LONG history (final model)",0.0005815011681988835,0.01719392091035843,0.9997039363591895,0.7487179487179488,0.9984019994735718,0.9997039363591895,0.000893175951205194,0.8999819787349072,2024-10-07,11
