candidate,seed,borough,held_out_start,AccHR,n_train_instances,run_fingerprint
42,42,Westminster,2023-07-15,0.7421768707482993,6,94517fc64896d531
42,42,Westminster,2023-10-13,0.7933673469387755,7,94517fc64896d531
42,42,Westminster,2024-01-11,0.8984848484848484,8,94517fc64896d531
42,42,Westminster,2024-04-10,0.7692307692307693,9,94517fc64896d531
42,42,Westminster,2024-07-09,0.9049450549450551,10,94517fc64896d531
42,42,Westminster,2024-10-07,0.7935897435897435,11,94517fc64896d531
1,1,Westminster,2023-07-15,0.7081632653061225,6,1894626e3cfe329e
1,1,Westminster,2023-10-13,0.8112244897959184,7,1894626e3cfe329e
1,1,Westminster,2024-01-11,0.8454545454545456,8,1894626e3cfe329e
1,1,Westminster,2024-04-10,0.8012820512820512,9,1894626e3cfe329e
1,1,Westminster,2024-07-09,0.8857142857142859,10,1894626e3cfe329e
1,1,Westminster,2024-10-07,0.7615384615384614,11,1894626e3cfe329e
7,7,Westminster,2023-07-15,0.6581632653061226,6,9b878492581b8dc6
