candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"z-score scaling (current), 5yr history",0.0005796349141746759,0.018275771290063858,0.9996653193625621,0.7421768707482993,0.9985259175300598,0.9996653193625621,0.0009871235815808177,0.9195350513606055,2023-07-15,6
"z-score scaling (current), 5yr history",0.000652611895930022,0.019469251856207848,0.9996202661998301,0.7993197278911565,0.9986006617546082,0.9996202661998301,0.0008144036401063204,0.8938354401050382,2023-10-13,7
"z-score scaling (current), 5yr history",0.00044086622074246407,0.013656752184033394,0.9998133511829673,0.8984848484848484,0.9991683959960938,0.9998133511829673,0.0009425371536053717,0.8928764513554566,2024-01-11,8
"z-score scaling (current), 5yr history",0.00047779909800738096,0.014784052968025208,0.9997811703524444,0.7371794871794872,0.9988842010498047,0.9997811703524444,0.0009701935341581702,0.8982828308832994,2024-04-10,9
"z-score scaling (current), 5yr history",0.0005343041848391294,0.016231391578912735,0.9997361171897124,0.8472527472527474,0.9985195994377136,0.9997361171897124,0.000921111844945699,0.9000334680637437,2024-07-09,10
"z-score scaling (current), 5yr history",0.0005816578050144017,0.017193911597132683,0.9997039363591895,0.7487179487179488,0.9984002113342285,0.9997039363591895,0.0008936343947425485,0.8999562340704889,2024-10-07,11
"RANK scaling, 5yr history",0.0006214787135832012,0.018291331827640533,0.9996653193625621,0.6670068027210885,0.9997052550315857,0.9996653193625621,0.0006683141109533608,0.9000849573925804,2023-07-15,6
"RANK scaling, 5yr history",0.0006400614511221647,0.019483167678117752,0.9996202661998301,0.6802721088435374,0.9997186064720154,0.9996202661998301,0.0006252076709643006,0.8998854362433386,2023-10-13,7
"RANK scaling, 5yr history",0.0004795459390152246,0.013661251403391361,0.9998133511829673,0.7893939393939394,0.9997043609619141,0.9998133511829673,0.000658608740195632,0.9003166593723451,2024-01-11,8
"RANK scaling, 5yr history",0.0004854138824157417,0.014789674431085587,0.9997811703524444,0.8333333333333333,0.9995966553688049,0.9997811703524444,0.0006518864538520575,0.9004325103622274,2024-04-10,9
"RANK scaling, 5yr history",0.0005616458947770298,0.016239821910858154,0.9997361171897124,0.915934065934066,0.9995142221450806,0.9997361171897124,0.0007451619021594524,0.9011340524676261,2024-07-09,10
"RANK scaling, 5yr history",0.0006060125306248665,0.017201587557792664,0.9997039363591895,0.767948717948718,0.9995177984237671,0.9997039363591895,0.0008234548149630427,0.9007028293386196,2024-10-07,11
"RANK scaling, 9yr history (the key test)",0.0006161704659461975,0.018291402608156204,0.9996653193625621,0.4372448979591837,0.9997134804725647,0.9996653193625621,0.0006710135494358838,0.8999369255721752,2023-07-15,6
"RANK scaling, 9yr history (the key test)",0.0006873792735859752,0.019483322277665138,0.9996202661998301,0.34863945578231287,0.999691903591156,0.9996202661998301,0.0006951346877031028,0.9061092088664624,2023-10-13,7
"RANK scaling, 9yr history (the key test)",0.0004823689232580364,0.013661428354680538,0.9998133511829673,0.43787878787878787,0.9997122287750244,0.9998133511829673,0.000653367314953357,0.9005033081893777,2024-01-11,8
"RANK scaling, 9yr history (the key test)",0.0004973630420863628,0.01479148119688034,0.9997811703524444,0.3628205128205128,0.9997168183326721,0.9997811703524444,0.0006232296000234783,0.9003681487011816,2024-04-10,9
"RANK scaling, 9yr history (the key test)",0.0005324825760908425,0.01624233089387417,0.9997361171897124,0.3666666666666666,0.9997233152389526,0.9997361171897124,0.0006146286032162607,0.9001300105553124,2024-07-09,10
"RANK scaling, 9yr history (the key test)",0.000561494380235672,0.017204057425260544,0.9997039363591895,0.43589743589743585,0.9997315406799316,0.9997039363591895,0.0006020869477652013,0.8998983085755478,2024-10-07,11
