candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"heads=3 + early_stopping(patience=10, val_instances=2, max_epochs=300)",0.0009884655009955168,0.022173888981342316,0.9995081719128329,0.25,0.9995553493499756,0.9995081719128329,0.001340351882390678,0.9029112439467313,2023-07-15,6
"heads=3 + early_stopping(patience=10, val_instances=2, max_epochs=300)",0.0010530144209042192,0.023617787286639214,0.9994419642857143,0.15254237288135594,0.9995303750038147,0.9994419642857143,0.0013353799004107714,0.9020127118644068,2023-10-13,7
"heads=3 + early_stopping(patience=10, val_instances=2, max_epochs=300)",0.0007852222770452499,0.016561750322580338,0.9997257112590799,0.27586206896551724,0.9994478821754456,0.9997257112590799,0.001373160514049232,0.9186875756658596,2024-01-11,8
"heads=3 + early_stopping(patience=10, val_instances=2, max_epochs=300)",0.0007379075395874679,0.017931226640939713,0.9996784200968523,0.23529411764705882,0.9996168613433838,0.9996784200968523,0.0010700705461204052,0.9083118946731235,2024-04-10,9
"heads=3 + early_stopping(patience=10, val_instances=2, max_epochs=300)",0.0007116166525520384,0.01968907192349434,0.9996122124697336,0.24390243902439024,0.9996845126152039,0.9996122124697336,0.0008245224598795176,0.9033463226392252,2024-07-09,10
"heads=3 + early_stopping(patience=10, val_instances=2, max_epochs=300)",0.0007416961016133428,0.020854143425822258,0.9995649213075061,0.34782608695652173,0.9996673464775085,0.9995649213075061,0.0008004888077266514,0.8970282233656174,2024-10-07,11
"heads=3 + early_stopping(patience=10, val_instances=3, max_epochs=300)",0.0009928857907652855,0.022173715755343437,0.9995081719128329,0.3269230769230769,0.9995452165603638,0.9995081719128329,0.001328477286733687,0.9085105175544794,2023-07-15,6
"heads=3 + early_stopping(patience=10, val_instances=3, max_epochs=300)",0.0010486008832231164,0.023617666214704514,0.9994419642857143,0.22033898305084745,0.9995301961898804,0.9994419642857143,0.001330263097770512,0.909011803874092,2023-10-13,7
"heads=3 + early_stopping(patience=10, val_instances=3, max_epochs=300)",0.0007662915741093457,0.016561400145292282,0.9997257112590799,0.3103448275862069,0.9994646906852722,0.9997257112590799,0.0013313005911186337,0.9193874848668281,2024-01-11,8
"heads=3 + early_stopping(patience=10, val_instances=3, max_epochs=300)",0.0007105583790689707,0.017931098118424416,0.9996784200968523,0.23529411764705882,0.9996428489685059,0.9996784200968523,0.0010357481660321355,0.9244854721549637,2024-04-10,9
"heads=3 + early_stopping(patience=10, val_instances=3, max_epochs=300)",0.0008051465847529471,0.019689282402396202,0.9996122124697336,0.2926829268292683,0.9995925426483154,0.9996122124697336,0.0010693026706576347,0.9064959140435835,2024-07-09,10
"heads=3 + early_stopping(patience=10, val_instances=3, max_epochs=300)",0.0007594905328005552,0.020854134112596512,0.9995649213075061,0.2826086956521739,0.9996541142463684,0.9995649213075061,0.0008251231047324836,0.8993927814769975,2024-10-07,11
