candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"FAITHFUL: heads=3, 2-layer, hidden=42, lr=0.01, wd=0.01, epochs=20",0.000755129789467901,0.022173641249537468,0.9995081719128329,0.1346153846153846,0.9997656941413879,0.9995081719128329,0.0005991577636450529,0.9027599122276029,2023-07-15,6
"FAITHFUL: heads=3, 2-layer, hidden=42, lr=0.01, wd=0.01, epochs=20",0.0007628554594703019,0.02361924573779106,0.9994419642857143,0.15254237288135594,0.9998114109039307,0.9994419642857143,0.00045406687422655523,0.8955621973365617,2023-10-13,7
"FAITHFUL: heads=3, 2-layer, hidden=42, lr=0.01, wd=0.01, epochs=20",0.0004458169569261372,0.016559822484850883,0.9997257112590799,0.2413793103448276,0.9998339414596558,0.9997257112590799,0.00038083954132162035,0.9055027996368039,2024-01-11,8
"FAITHFUL: heads=3, 2-layer, hidden=42, lr=0.01, wd=0.01, epochs=20",0.0004693923401646316,0.01793067902326584,0.9996784200968523,0.14705882352941177,0.9998558163642883,0.9996784200968523,0.00032361620105803013,0.9273418583535109,2024-04-10,9
"FAITHFUL: heads=3, 2-layer, hidden=42, lr=0.01, wd=0.01, epochs=20",0.000523384369444102,0.019690092653036118,0.9996122124697336,0.14634146341463414,0.9998630285263062,0.9996122124697336,0.0002901268599089235,0.8925071882566586,2024-07-09,10
"FAITHFUL: heads=3, 2-layer, hidden=42, lr=0.01, wd=0.01, epochs=20",0.0005669713136740029,0.020856253802776337,0.9995649213075061,0.06521739130434782,0.9998703598976135,0.9995649213075061,0.00027567544020712376,0.8062764830508474,2024-10-07,11
"FAITHFUL, epochs=200 (isolate epoch count)",0.003139637876302004,0.0222765002399683,0.9995081719128329,0.4423076923076923,0.9973365068435669,0.9995081719128329,0.005401958245784044,0.8994022397094431,2023-07-15,6
"FAITHFUL, epochs=200 (isolate epoch count)",0.002915883669629693,0.023684808984398842,0.9994419642857143,0.4745762711864407,0.9976291060447693,0.9994419642857143,0.004821691662073135,0.9004426452784504,2023-10-13,7
"FAITHFUL, epochs=200 (isolate epoch count)",0.002420281758531928,0.016665110364556313,0.9997257112590799,0.4827586206896552,0.9978480339050293,0.9997257112590799,0.004363803658634424,0.9013128026634383,2024-01-11,8
"FAITHFUL, epochs=200 (isolate epoch count)",0.0022696037776768208,0.01800350658595562,0.9996784200968523,0.5294117647058824,0.9980419278144836,0.9996784200968523,0.003966497723013163,0.8996008625907991,2024-04-10,9
"FAITHFUL, epochs=200 (isolate epoch count)",0.0021813882049173117,0.019738273695111275,0.9996122124697336,0.4878048780487805,0.998174786567688,0.9996122124697336,0.0036621682811528444,0.8973214285714286,2024-07-09,10
"FAITHFUL, epochs=200 (isolate epoch count)",0.002109450986608863,0.0208906140178442,0.9995649213075061,0.3695652173913043,0.9983047246932983,0.9995649213075061,0.0034228230360895395,0.8967350181598063,2024-10-07,11
