candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
heads=1 + POI + socio-demographic,0.0008963763830251992,0.022166522219777107,0.9995081719128329,0.5032312925170068,0.9990672469139099,0.9995081719128329,0.0013456717133522034,0.9174012560532687,2023-07-15,6
heads=1 + POI + socio-demographic,0.000980066484771669,0.023605462163686752,0.9994419642857143,0.5909863945578231,0.9988803267478943,0.9994419642857143,0.0012904899194836617,0.8965458535108959,2023-10-13,7
heads=1 + POI + socio-demographic,0.0007295971736311913,0.01655823178589344,0.9997257112590799,0.5454545454545454,0.9987925291061401,0.9997257112590799,0.0013526106486096978,0.8954959897094431,2024-01-11,8
heads=1 + POI + socio-demographic,0.0007467514369636774,0.017926106229424477,0.9996784200968523,0.5628205128205128,0.9990968108177185,0.9996784200968523,0.001348784426227212,0.897765965496368,2024-04-10,9
heads=1 + POI + socio-demographic,0.0008127366309054196,0.01967843435704708,0.9996122124697336,0.7439560439560439,0.9988011717796326,0.9996122124697336,0.0013313057133927941,0.8969336410411622,2024-07-09,10
heads=1 + POI + socio-demographic,0.00082387775182724,0.020850451663136482,0.9995649213075061,0.5628205128205128,0.99931800365448,0.9995649213075061,0.0012435766402631998,0.906051377118644,2024-10-07,11
heads=2 + POI + socio-demographic,0.0009257871424779296,0.022170091047883034,0.9995081719128329,0.48894557823129253,0.9994438886642456,0.9995081719128329,0.0010625093709677458,0.851761122881356,2023-07-15,6
heads=2 + POI + socio-demographic,0.000988788902759552,0.023614516481757164,0.9994419642857143,0.451530612244898,0.9994539618492126,0.9994419642857143,0.0011151303770020604,0.9055311743341404,2023-10-13,7
heads=2 + POI + socio-demographic,0.0007039470365270972,0.01655874028801918,0.9997257112590799,0.5242424242424243,0.999340832233429,0.9997257112590799,0.0012764892308041453,0.9012844279661016,2024-01-11,8
heads=2 + POI + socio-demographic,0.0007214859942905605,0.01792830228805542,0.9996784200968523,0.5205128205128206,0.999362587928772,0.9996784200968523,0.0012439442798495293,0.9029490768765133,2024-04-10,9
heads=2 + POI + socio-demographic,0.0007615938666276634,0.01968456618487835,0.9996122124697336,0.6406593406593407,0.999353289604187,0.9996122124697336,0.001096517313271761,0.9026937046004843,2024-07-09,10
heads=2 + POI + socio-demographic,0.0008455307106487453,0.020852388814091682,0.9995649213075061,0.5923076923076923,0.9994897246360779,0.9995649213075061,0.0010016325395554304,0.8968106840193705,2024-10-07,11
heads=3 + POI + socio-demographic,0.0009107037913054228,0.02217055670917034,0.9995081719128329,0.5925170068027211,0.9994929432868958,0.9995081719128329,0.0009431095677427948,0.8163305841404358,2023-07-15,6
heads=3 + POI + socio-demographic,0.0010075710015371442,0.023610519245266914,0.9994419642857143,0.5909863945578231,0.9991670250892639,0.9994419642857143,0.0014288433594629169,0.9078106083535109,2023-10-13,7
heads=3 + POI + socio-demographic,0.000750737963244319,0.01655992679297924,0.9997257112590799,0.43333333333333324,0.9992151856422424,0.9997257112590799,0.0014792103320360184,0.8981159200968523,2024-01-11,8
heads=3 + POI + socio-demographic,0.0007450100965797901,0.01792694255709648,0.9996784200968523,0.49230769230769234,0.99919193983078,0.9996784200968523,0.0013074888847768307,0.9036773607748184,2024-04-10,9
heads=3 + POI + socio-demographic,0.0007817497244104743,0.019679442048072815,0.9996122124697336,0.8472527472527474,0.9989733695983887,0.9996122124697336,0.0011916416697204113,0.8981159200968523,2024-07-09,10
heads=3 + POI + socio-demographic,0.0008448538137599826,0.020853959023952484,0.9995649213075061,0.37820512820512814,0.9995774626731873,0.9995649213075061,0.0009187354589812458,0.9010101392251816,2024-10-07,11
heads=4 + POI + socio-demographic,0.0009349319152534008,0.02216610126197338,0.9995081719128329,0.48724489795918363,0.9990754723548889,0.9995081719128329,0.0013543084496632218,0.8806749394673123,2023-07-15,6
heads=4 + POI + socio-demographic,0.0009856111137196422,0.023606978356838226,0.9994419642857143,0.5374149659863946,0.9989567399024963,0.9994419642857143,0.001352899824269116,0.9048785562953995,2023-10-13,7
heads=4 + POI + socio-demographic,0.0007302649319171906,0.016560537740588188,0.9997257112590799,0.4318181818181817,0.9990301728248596,0.9997257112590799,0.001396010397002101,0.9010479721549637,2024-01-11,8
heads=4 + POI + socio-demographic,0.0007479245541617274,0.01792766898870468,0.9996784200968523,0.5371794871794872,0.999062716960907,0.9996784200968523,0.001288972212933004,0.898891495157385,2024-04-10,9
heads=4 + POI + socio-demographic,0.0007958501810207963,0.019680259749293327,0.9996122124697336,0.7395604395604397,0.9988436698913574,0.9996122124697336,0.0012809672625735402,0.9031287832929782,2024-07-09,10
heads=4 + POI + socio-demographic,0.0008647684589959681,0.02084941416978836,0.9995649213075061,0.6269230769230769,0.9991785287857056,0.9995649213075061,0.001235666684806347,0.8846284806295399,2024-10-07,11
