candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
heads=3 + rank_loss(w=0.1),0.0010287804761901498,0.02217406965792179,0.9995081719128329,0.6153846153846154,0.9990705847740173,0.9995081719128329,0.0013347689528018236,0.8786319612590799,2023-07-15,6
heads=3 + rank_loss(w=0.1),0.001046724384650588,0.02361138164997101,0.9994419642857143,0.5084745762711864,0.9989898204803467,0.9994419642857143,0.001455967896617949,0.9099481688861986,2023-10-13,7
heads=3 + rank_loss(w=0.1),0.0007911159773357213,0.01656479947268963,0.9997257112590799,0.4827586206896552,0.9989727735519409,0.9997257112590799,0.0014004104305058718,0.8992887409200968,2024-01-11,8
heads=3 + rank_loss(w=0.1),0.0007956834742799401,0.017928777262568474,0.9996784200968523,0.4117647058823529,0.9990768432617188,0.9996784200968523,0.001412764424458146,0.9030247427360775,2024-04-10,9
heads=3 + rank_loss(w=0.1),0.0008430818561464548,0.019684523344039917,0.9996122124697336,0.4878048780487805,0.9990741610527039,0.9996122124697336,0.0013446628581732512,0.8972268462469734,2024-07-09,10
heads=3 + rank_loss(w=0.1),0.0008773217559792101,0.020852312445640564,0.9995649213075061,0.391304347826087,0.9993335604667664,0.9995649213075061,0.0013482006033882499,0.9015114255447942,2024-10-07,11
heads=3 + rank_loss(w=1.0),0.025456152856349945,0.13757871091365814,0.9843182506053268,0.4423076923076923,0.9151166081428528,0.9995081719128329,0.006564247887581587,0.8711410411622276,2023-07-15,6
heads=3 + rank_loss(w=1.0),0.03507839888334274,0.18562592566013336,0.9785865617433414,0.4406779661016949,0.9323988556861877,0.9994419642857143,0.03088272362947464,0.9038476089588378,2023-10-13,7
heads=3 + rank_loss(w=1.0),0.026877151802182198,0.13754794001579285,0.9843277088377724,0.3448275862068966,0.9375672936439514,0.9997257112590799,0.025063438341021538,0.9000926906779662,2024-01-11,8
heads=3 + rank_loss(w=1.0),0.0365757942199707,0.16898301243782043,0.9778961107748184,0.4117647058823529,0.9148390889167786,0.9996784200968523,0.046178970485925674,0.8982861682808717,2024-04-10,9
heads=3 + rank_loss(w=1.0),0.06243216246366501,0.2318173199892044,0.9584783595641646,0.4146341463414634,0.8250730633735657,0.9996122124697336,0.15962204337120056,0.8965080205811138,2024-07-09,10
heads=3 + rank_loss(w=1.0),0.03134207800030708,0.1597270518541336,0.9813010744552058,0.391304347826087,0.9542677402496338,0.9995649213075061,0.026240522041916847,0.8858769673123487,2024-10-07,11
