candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"baseline (heads=1, 1 layer, ZIP)",0.0008527347818017006,0.02217077650129795,0.9995081719128329,0.4230769230769231,0.9995549917221069,0.9995081719128329,0.0010903994552791119,0.9684662530266344,2023-07-15,6
"baseline (heads=1, 1 layer, ZIP)",0.0009685949771665037,0.02361471951007843,0.9994419642857143,0.3728813559322034,0.9994645118713379,0.9994419642857143,0.0011342638172209263,0.8963093976997578,2023-10-13,7
"baseline (heads=1, 1 layer, ZIP)",0.0007036409224383533,0.016559340059757233,0.9997257112590799,0.4482758620689655,0.9994652271270752,0.9997257112590799,0.0010721009457483888,0.8778185532687651,2024-01-11,8
"baseline (heads=1, 1 layer, ZIP)",0.0007579235243611038,0.017929114401340485,0.9996784200968523,0.4117647058823529,0.9994369745254517,0.9996784200968523,0.001146673341281712,0.8839285714285714,2024-04-10,9
"baseline (heads=1, 1 layer, ZIP)",0.0008313207654282451,0.019684279337525368,0.9996122124697336,0.4878048780487805,0.9992374181747437,0.9996122124697336,0.0012275436893105507,0.8917599878934624,2024-07-09,10
"baseline (heads=1, 1 layer, ZIP)",0.0009087555226869881,0.020852481946349144,0.9995649213075061,0.391304347826087,0.9994075894355774,0.9995649213075061,0.001177509780973196,0.8788400423728814,2024-10-07,11
heads=3 (paper's value),0.0009599418845027685,0.022167427465319633,0.9995081719128329,0.5961538461538461,0.999252200126648,0.9995081719128329,0.0012999126920476556,0.8902277542372882,2023-07-15,6
heads=3 (paper's value),0.0009804129367694259,0.02361314184963703,0.9994419642857143,0.4915254237288136,0.9993643760681152,0.9994419642857143,0.0011927030282095075,0.8968768916464891,2023-10-13,7
heads=3 (paper's value),0.0007362849428318441,0.016559172421693802,0.9997257112590799,0.5172413793103449,0.9992541074752808,0.9997257112590799,0.0013172877952456474,0.8951554933414043,2024-01-11,8
heads=3 (paper's value),0.0007676573586650193,0.017928365617990494,0.9996784200968523,0.4411764705882353,0.9992676973342896,0.9996784200968523,0.0013172554317861795,0.9022302512106537,2024-04-10,9
heads=3 (paper's value),0.0008237202418968081,0.01968449167907238,0.9996122124697336,0.5365853658536586,0.9991924166679382,0.9996122124697336,0.0012704461114481091,0.8987117887409201,2024-07-09,10
heads=3 (paper's value),0.0008662393083795905,0.02085200697183609,0.9995649213075061,0.391304347826087,0.9993530511856079,0.9995649213075061,0.0012532006949186325,0.8975011349878934,2024-10-07,11
2-layer GAT (paper's value),0.0008998291450552642,0.022168712690472603,0.9995081719128329,0.5769230769230769,0.9993840456008911,0.9995081719128329,0.0012589023681357503,0.9303306598062954,2023-07-15,6
2-layer GAT (paper's value),0.000984600861556828,0.023614078760147095,0.9994419642857143,0.4915254237288136,0.9994199872016907,0.9994419642857143,0.0012197846081107855,0.9084348516949152,2023-10-13,7
2-layer GAT (paper's value),0.0007271877839230001,0.01655997335910797,0.9997257112590799,0.4827586206896552,0.999311089515686,0.9997257112590799,0.0013077508192509413,0.8999413589588378,2024-01-11,8
2-layer GAT (paper's value),0.0007679962436668575,0.01792987994849682,0.9996784200968523,0.4117647058823529,0.9993360042572021,0.9996784200968523,0.0012987266527488828,0.9002061894673123,2024-04-10,9
2-layer GAT (paper's value),0.0007868211250752211,0.01968657597899437,0.9996122124697336,0.4634146341463415,0.9994438886642456,0.9996122124697336,0.0010969112627208233,0.9000548577481841,2024-07-09,10
2-layer GAT (paper's value),0.0008630019146949053,0.02085188217461109,0.9995649213075061,0.391304347826087,0.9993962645530701,0.9995649213075061,0.0011955362278968096,0.8888373940677966,2024-10-07,11
