candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
heads=3 + 2-layer,0.0009438350680284202,0.022169608622789383,0.9995081719128329,0.6153846153846154,0.9994235634803772,0.9995081719128329,0.0011127875186502934,0.8797291162227603,2023-07-15,6
heads=3 + 2-layer,0.0010091648437082767,0.023614957928657532,0.9994419642857143,0.3898305084745763,0.9994598031044006,0.9994419642857143,0.0011734147556126118,0.9103643311138014,2023-10-13,7
heads=3 + 2-layer,0.0007263103616423905,0.016559377312660217,0.9997257112590799,0.4827586206896552,0.9994208216667175,0.9997257112590799,0.0012022719020023942,0.8984658746973365,2024-01-11,8
heads=3 + 2-layer,0.0007843694183975458,0.017930133268237114,0.9996784200968523,0.35294117647058826,0.9994751214981079,0.9996784200968523,0.0012039844878017902,0.9032422820823245,2024-04-10,9
heads=3 + 2-layer,0.0008245395729318261,0.019687633961439133,0.9996122124697336,0.4634146341463415,0.9995004534721375,0.9996122124697336,0.001034793327562511,0.8941623789346247,2024-07-09,10
heads=3 + 2-layer,0.0008601771551184356,0.020854013040661812,0.9995649213075061,0.1956521739130435,0.9995661377906799,0.9995649213075061,0.0009396381210535765,0.9001778147699758,2024-10-07,11
heads=3 + hidden=42 + corrected lr/wd,0.0021195411682128906,0.022204451262950897,0.9995081719128329,0.019230769230769232,0.9983398914337158,0.9995081719128329,0.0038713370449841022,0.886974122276029,2023-07-15,6
heads=3 + hidden=42 + corrected lr/wd,0.002165295882150531,0.023644939064979553,0.9994419642857143,0.1864406779661017,0.9984551668167114,0.9994419642857143,0.003851171350106597,0.8994684473365617,2023-10-13,7
heads=3 + hidden=42 + corrected lr/wd,0.0018439871491864324,0.016616355627775192,0.9997257112590799,0.41379310344827586,0.998549222946167,0.9997257112590799,0.0036966355983167887,0.9036868190072639,2024-01-11,8
heads=3 + hidden=42 + corrected lr/wd,0.001871998654678464,0.017975294962525368,0.9996784200968523,0.17647058823529413,0.9984261989593506,0.9996784200968523,0.003661002963781357,0.910137333535109,2024-04-10,9
heads=3 + hidden=42 + corrected lr/wd,0.0019236800726503134,0.01972479373216629,0.9996122124697336,0.21951219512195122,0.9984285235404968,0.9996122124697336,0.003638144349679351,0.9043867282082324,2024-07-09,10
heads=3 + hidden=42 + corrected lr/wd,0.0019939930643886328,0.02088738977909088,0.9995649213075061,0.21739130434782608,0.9983957409858704,0.9995649213075061,0.003731865668669343,0.8885820217917676,2024-10-07,11
