candidate,MAE,RMSE,ZR,AccHR,MAPE_excl_zeros,MAPE_excluded_fraction,MPIW,PICP,held_out_start,n_train_instances
"final config, weight_decay=0.0 (current)",0.0005798625643365085,0.018275186419487,0.9996653193625621,0.7040816326530612,0.9984951615333557,0.9996653193625621,0.0009660133509896696,0.919876168164148,2023-07-15,6
"final config, weight_decay=0.0 (current)",0.0006258930661715567,0.01947161927819252,0.9996202661998301,0.8112244897959184,0.998875617980957,0.9996202661998301,0.0007700214046053588,0.8935200679659141,2023-10-13,7
"final config, weight_decay=0.0 (current)",0.0004443291400093585,0.013656221330165863,0.9998133511829673,0.8984848484848484,0.9990872144699097,0.9998133511829673,0.0009330530883744359,0.8926447493756919,2024-01-11,8
"final config, weight_decay=0.0 (current)",0.00047213651123456657,0.014784490689635277,0.9997811703524444,0.7371794871794872,0.9989564418792725,0.9997811703524444,0.0009626126266084611,0.8982120330561492,2024-04-10,9
"final config, weight_decay=0.0 (current)",0.0005353660671971738,0.016231374815106392,0.9997361171897124,0.8472527472527474,0.998473584651947,0.9997361171897124,0.0008978659170679748,0.8999433617382797,2024-07-09,10
"final config, weight_decay=0.0 (current)",0.0005817695637233555,0.017193591222167015,0.9997039363591895,0.7487179487179488,0.9983797669410706,0.9997039363591895,0.0008993897936306894,0.8999819787349072,2024-10-07,11
"final config, weight_decay=0.01 (theirs)",0.003367781173437834,0.01848766580224037,0.9996653193625621,0.7438775510204082,0.9968538284301758,0.9996653193625621,0.006172493565827608,0.8977936822593517,2023-07-15,6
"final config, weight_decay=0.01 (theirs)",0.00305318646132946,0.01961597613990307,0.9996202661998301,0.727891156462585,0.9972176551818848,0.9996202661998301,0.0054541658610105515,0.9022410730376129,2023-10-13,7
"final config, weight_decay=0.01 (theirs)",0.0025921601336449385,0.013838092796504498,0.9998133511829673,0.85,0.9974412322044373,0.9998133511829673,0.004918769467622042,0.9011533609659398,2024-01-11,8
"final config, weight_decay=0.01 (theirs)",0.002391370013356209,0.014917653053998947,0.9997811703524444,0.7628205128205128,0.9976550936698914,0.9997811703524444,0.004450520966202021,0.9010632546404758,2024-04-10,9
"final config, weight_decay=0.01 (theirs)",0.00225626933388412,0.016331220045685768,0.9997361171897124,0.8600732600732601,0.9978055357933044,0.9997361171897124,0.004078150726854801,0.8940864505831166,2024-07-09,10
"final config, weight_decay=0.01 (theirs)",0.0021532555110752583,0.017272284254431725,0.9997039363591895,0.7141025641025641,0.9979783892631531,0.9997039363591895,0.003805684158578515,0.8865239554102412,2024-10-07,11
