split,model,n,n_with_collision,pr_auc,spearman_rank_corr,precision_at_10,precision_at_25,precision_at_50
temporal,historical_rate,22694,822,0.2186413162802735,0.3698056739121483,0.9,0.72,0.64
temporal,xgboost,22694,822,0.3465442253595383,0.2023209837368471,0.8,0.8,0.82
spatial,historical_rate,13614,557,0.1639825921526522,0.3070452215874489,0.8,0.68,0.68
spatial,xgboost,13614,557,0.26705791113040545,0.16991136515466104,0.9,0.68,0.7
spatiotemporal,historical_rate,4538,157,0.28083554771829017,0.4142836259737877,0.8,0.8,0.64
spatiotemporal,xgboost,4538,157,0.43506060321125767,0.22431475880962023,0.8,0.76,0.7
temporal,gat_temporal,22694,822,0.29708688086343454,0.22563851933130813,0.5,0.64,0.68
spatiotemporal,gat_temporal,4538,157,0.41578506807338694,0.2434251055401411,0.9,0.72,0.68
temporal,gat_no_graph,22694,822,0.3047435136587847,0.19587713382770308,1.0,0.8,0.74
temporal,gat_no_temporal,22694,822,0.21312115540636462,0.10940213542159041,0.8,0.76,0.7
